LAT,LON,TIME,WIND,PR,STAT
12.60,-115.50,10/21/00Z,25,-,TROPICAL DEPRESSION
13.00,-116.50,10/21/06Z,25,-,TROPICAL DEPRESSION
13.30,-117.60,10/21/12Z,25,-,TROPICAL DEPRESSION
13.40,-118.70,10/21/18Z,25,-,TROPICAL DEPRESSION
13.40,-119.70,10/22/00Z,45,-,TROPICAL STORM
13.30,-120.40,10/22/06Z,45,-,TROPICAL STORM
13.20,-121.10,10/22/12Z,45,-,TROPICAL STORM
13.10,-121.80,10/22/18Z,45,-,TROPICAL STORM
13.00,-122.50,10/23/00Z,45,-,TROPICAL STORM
12.90,-123.30,10/23/06Z,45,-,TROPICAL STORM
12.70,-124.00,10/23/12Z,45,-,TROPICAL STORM
12.40,-124.90,10/23/18Z,45,-,TROPICAL STORM
12.10,-125.80,10/24/00Z,45,-,TROPICAL STORM
11.90,-126.50,10/24/06Z,45,-,TROPICAL STORM
11.60,-127.30,10/24/12Z,45,-,TROPICAL STORM
11.20,-128.10,10/24/18Z,45,-,TROPICAL STORM
11.00,-129.00,10/25/00Z,25,-,TROPICAL DEPRESSION
11.60,-129.80,10/25/06Z,25,-,TROPICAL DEPRESSION
12.90,-130.30,10/25/12Z,25,-,TROPICAL DEPRESSION
13.80,-130.40,10/25/18Z,25,-,TROPICAL DEPRESSION
14.60,-130.40,10/26/00Z,25,-,TROPICAL DEPRESSION
15.00,-131.40,10/26/06Z,25,-,TROPICAL DEPRESSION
15.00,-132.30,10/26/12Z,25,-,TROPICAL DEPRESSION
14.90,-132.70,10/26/18Z,25,-,TROPICAL DEPRESSION
14.90,-133.10,10/27/00Z,25,-,TROPICAL DEPRESSION
15.00,-133.70,10/27/06Z,25,-,TROPICAL DEPRESSION
15.10,-134.30,10/27/12Z,25,-,TROPICAL DEPRESSION
15.20,-135.00,10/27/18Z,25,-,TROPICAL DEPRESSION
15.20,-135.80,10/28/00Z,25,-,TROPICAL DEPRESSION
15.30,-136.50,10/28/06Z,25,-,TROPICAL DEPRESSION
15.50,-137.30,10/28/12Z,25,-,TROPICAL DEPRESSION
15.50,-138.60,10/28/18Z,25,-,TROPICAL DEPRESSION
15.60,-139.90,10/29/00Z,25,-,TROPICAL DEPRESSION
15.80,-140.50,10/29/06Z,25,-,TROPICAL DEPRESSION
15.90,-141.10,10/29/12Z,25,-,TROPICAL DEPRESSION
15.90,-141.90,10/29/18Z,45,-,TROPICAL STORM
16.00,-142.60,10/30/00Z,45,-,TROPICAL STORM
16.10,-143.00,10/30/06Z,45,-,TROPICAL STORM
16.20,-143.30,10/30/12Z,45,-,TROPICAL STORM
16.30,-143.90,10/30/18Z,45,-,TROPICAL STORM
16.40,-144.50,10/31/00Z,45,-,TROPICAL STORM
16.40,-144.80,10/31/06Z,45,-,TROPICAL STORM
16.50,-145.20,10/31/12Z,45,-,TROPICAL STORM
16.60,-145.60,10/31/18Z,45,-,TROPICAL STORM
16.60,-146.00,11/01/00Z,45,-,TROPICAL STORM
16.70,-146.40,11/01/06Z,45,-,TROPICAL STORM
16.80,-146.70,11/01/12Z,45,-,TROPICAL STORM
17.00,-147.10,11/01/18Z,45,-,TROPICAL STORM
17.20,-147.40,11/02/00Z,45,-,TROPICAL STORM
17.60,-147.60,11/02/06Z,45,-,TROPICAL STORM
18.00,-147.70,11/02/12Z,45,-,TROPICAL STORM
18.70,-147.70,11/02/18Z,45,-,TROPICAL STORM
19.50,-147.60,11/03/00Z,45,-,TROPICAL STORM
21.00,-147.60,11/03/06Z,45,-,TROPICAL STORM
22.50,-147.70,11/03/12Z,45,-,TROPICAL STORM
