LAT,LON,TIME,WIND,PR,STAT
10.10,-106.10,08/21/00Z,25,-,TROPICAL DEPRESSION
10.20,-107.00,08/21/06Z,25,-,TROPICAL DEPRESSION
10.40,-107.80,08/21/12Z,25,-,TROPICAL DEPRESSION
10.60,-108.90,08/21/18Z,25,-,TROPICAL DEPRESSION
10.80,-109.90,08/22/00Z,25,-,TROPICAL DEPRESSION
11.10,-111.00,08/22/06Z,25,-,TROPICAL DEPRESSION
11.40,-112.10,08/22/12Z,25,-,TROPICAL DEPRESSION
11.70,-113.20,08/22/18Z,25,-,TROPICAL DEPRESSION
12.10,-114.30,08/23/00Z,25,-,TROPICAL DEPRESSION
12.30,-115.00,08/23/06Z,25,-,TROPICAL DEPRESSION
12.60,-115.60,08/23/12Z,45,-,TROPICAL STORM
12.90,-115.60,08/23/18Z,45,-,TROPICAL STORM
13.20,-115.70,08/24/00Z,45,-,TROPICAL STORM
13.50,-116.20,08/24/06Z,75,-,HURRICANE-1
13.80,-116.80,08/24/12Z,75,-,HURRICANE-1
14.60,-117.30,08/24/18Z,75,-,HURRICANE-1
15.40,-117.80,08/25/00Z,75,-,HURRICANE-1
16.20,-118.40,08/25/06Z,75,-,HURRICANE-1
17.00,-119.10,08/25/12Z,75,-,HURRICANE-1
17.60,-119.70,08/25/18Z,45,-,TROPICAL STORM
18.20,-120.30,08/26/00Z,45,-,TROPICAL STORM
19.00,-120.80,08/26/06Z,45,-,TROPICAL STORM
19.90,-121.40,08/26/12Z,45,-,TROPICAL STORM
21.10,-122.50,08/26/18Z,25,-,TROPICAL DEPRESSION
22.30,-123.70,08/27/00Z,25,-,TROPICAL DEPRESSION
23.70,-125.20,08/27/06Z,25,-,TROPICAL DEPRESSION
24.90,-126.70,08/27/12Z,25,-,TROPICAL DEPRESSION
25.70,-129.10,08/27/18Z,25,-,TROPICAL DEPRESSION
25.60,-131.70,08/28/00Z,25,-,TROPICAL DEPRESSION
