LAT,LON,TIME,WIND,PR,STAT
12.10,-99.00,09/09/00Z,25,-,TROPICAL DEPRESSION
12.50,-100.50,09/09/06Z,25,-,TROPICAL DEPRESSION
13.00,-101.60,09/09/12Z,25,-,TROPICAL DEPRESSION
13.50,-102.50,09/09/18Z,25,-,TROPICAL DEPRESSION
14.00,-103.40,09/10/00Z,25,-,TROPICAL DEPRESSION
14.50,-104.30,09/10/06Z,25,-,TROPICAL DEPRESSION
15.10,-105.20,09/10/12Z,25,-,TROPICAL DEPRESSION
15.80,-106.10,09/10/18Z,25,-,TROPICAL DEPRESSION
16.70,-106.60,09/11/00Z,25,-,TROPICAL DEPRESSION
17.70,-106.90,09/11/06Z,25,-,TROPICAL DEPRESSION
18.60,-107.10,09/11/12Z,45,-,TROPICAL STORM
19.30,-107.40,09/11/18Z,75,-,HURRICANE-1
20.00,-107.60,09/12/00Z,75,-,HURRICANE-1
20.80,-107.70,09/12/06Z,75,-,HURRICANE-1
21.70,-107.60,09/12/12Z,75,-,HURRICANE-1
22.50,-107.40,09/12/18Z,75,-,HURRICANE-1
23.40,-107.00,09/13/00Z,75,-,HURRICANE-1
25.30,-105.70,09/13/06Z,45,-,XXX
28.50,-103.50,09/13/12Z,25,-,XXX
