LAT,LON,TIME,WIND,PR,STAT
13.00,-98.60,09/26/00Z,25,-,TROPICAL DEPRESSION
13.10,-98.90,09/26/06Z,25,-,TROPICAL DEPRESSION
13.10,-99.20,09/26/12Z,25,-,TROPICAL DEPRESSION
13.10,-99.40,09/26/18Z,25,-,TROPICAL DEPRESSION
13.20,-99.60,09/27/00Z,25,-,TROPICAL DEPRESSION
13.20,-99.80,09/27/06Z,25,-,TROPICAL DEPRESSION
13.30,-99.90,09/27/12Z,25,-,TROPICAL DEPRESSION
13.30,-100.10,09/27/18Z,25,-,TROPICAL DEPRESSION
13.40,-100.30,09/28/00Z,25,-,TROPICAL DEPRESSION
13.50,-100.70,09/28/06Z,25,-,TROPICAL DEPRESSION
13.80,-101.20,09/28/12Z,25,-,TROPICAL DEPRESSION
14.10,-101.80,09/28/18Z,25,-,TROPICAL DEPRESSION
14.40,-102.40,09/29/00Z,25,1008,TROPICAL DEPRESSION
14.60,-103.10,09/29/06Z,45,-,TROPICAL STORM
14.90,-103.70,09/29/12Z,45,-,TROPICAL STORM
15.10,-104.30,09/29/18Z,45,-,TROPICAL STORM
15.40,-104.80,09/30/00Z,45,-,TROPICAL STORM
15.90,-105.40,09/30/06Z,45,-,TROPICAL STORM
16.70,-106.10,09/30/12Z,45,-,TROPICAL STORM
17.70,-106.80,09/30/18Z,75,-,HURRICANE-1
18.60,-107.60,10/01/00Z,75,-,HURRICANE-1
19.40,-108.30,10/01/06Z,75,-,HURRICANE-1
20.10,-109.00,10/01/12Z,75,-,HURRICANE-1
20.70,-109.90,10/01/18Z,75,-,HURRICANE-1
21.50,-110.80,10/02/00Z,75,-,HURRICANE-1
22.70,-111.30,10/02/06Z,75,-,HURRICANE-1
24.10,-111.20,10/02/12Z,75,-,HURRICANE-1
25.30,-110.70,10/02/18Z,45,-,TROPICAL STORM
26.60,-110.10,10/03/00Z,45,-,TROPICAL STORM
28.10,-109.90,10/03/06Z,45,-,XXX
29.90,-109.80,10/03/12Z,25,-,XXX
