LAT,LON,TIME,WIND,PR,STAT
15.90,-112.00,09/30/00Z,45,-,TROPICAL STORM
16.00,-112.70,09/30/06Z,45,-,TROPICAL STORM
16.10,-113.30,09/30/12Z,45,-,TROPICAL STORM
16.20,-113.80,09/30/18Z,45,-,TROPICAL STORM
16.30,-114.30,10/01/00Z,45,-,TROPICAL STORM
16.50,-114.80,10/01/06Z,45,-,TROPICAL STORM
16.80,-115.20,10/01/12Z,45,-,TROPICAL STORM
17.00,-115.50,10/01/18Z,45,-,TROPICAL STORM
17.20,-115.60,10/02/00Z,45,-,TROPICAL STORM
17.40,-115.40,10/02/06Z,45,-,TROPICAL STORM
17.50,-115.10,10/02/12Z,45,-,TROPICAL STORM
17.60,-114.90,10/02/18Z,45,-,TROPICAL STORM
17.60,-114.60,10/03/00Z,25,-,TROPICAL DEPRESSION
17.60,-114.30,10/03/06Z,25,-,TROPICAL DEPRESSION
17.60,-114.10,10/03/12Z,25,-,TROPICAL DEPRESSION
