LAT,LON,TIME,WIND,PR,STAT
11.40,-108.40,06/17/12Z,25,-,TROPICAL DEPRESSION
11.90,-108.80,06/17/18Z,40,-,TROPICAL STORM
12.40,-109.30,06/18/00Z,45,-,TROPICAL STORM
12.90,-109.80,06/18/06Z,45,-,TROPICAL STORM
13.40,-110.30,06/18/12Z,45,-,TROPICAL STORM
13.80,-110.70,06/18/18Z,45,-,TROPICAL STORM
14.30,-111.10,06/19/00Z,45,-,TROPICAL STORM
14.80,-111.40,06/19/06Z,45,-,TROPICAL STORM
15.30,-111.80,06/19/12Z,45,-,TROPICAL STORM
15.70,-112.20,06/19/18Z,45,-,TROPICAL STORM
16.20,-112.60,06/20/00Z,45,-,TROPICAL STORM
16.50,-112.90,06/20/06Z,45,-,TROPICAL STORM
16.80,-113.10,06/20/12Z,45,-,TROPICAL STORM
17.10,-113.40,06/20/18Z,35,-,TROPICAL STORM
17.40,-113.70,06/21/00Z,30,-,TROPICAL DEPRESSION
17.50,-113.90,06/21/06Z,30,-,TROPICAL DEPRESSION
17.60,-114.10,06/21/12Z,30,-,TROPICAL DEPRESSION
