LAT,LON,TIME,WIND,PR,STAT
13.60,-100.40,07/22/12Z,25,-,TROPICAL DEPRESSION
13.70,-101.70,07/22/18Z,25,-,TROPICAL DEPRESSION
13.90,-102.90,07/23/00Z,25,-,TROPICAL DEPRESSION
14.20,-104.10,07/23/06Z,25,-,TROPICAL DEPRESSION
14.60,-105.30,07/23/12Z,25,-,TROPICAL DEPRESSION
15.00,-106.50,07/23/18Z,25,-,TROPICAL DEPRESSION
15.40,-107.70,07/24/00Z,25,-,TROPICAL DEPRESSION
15.60,-108.50,07/24/06Z,25,-,TROPICAL DEPRESSION
15.80,-109.40,07/24/12Z,25,-,TROPICAL DEPRESSION
16.00,-110.20,07/24/18Z,45,-,TROPICAL STORM
16.50,-111.00,07/25/00Z,45,-,TROPICAL STORM
17.50,-111.40,07/25/06Z,45,-,TROPICAL STORM
18.60,-111.70,07/25/12Z,45,-,TROPICAL STORM
19.40,-112.20,07/25/18Z,45,-,TROPICAL STORM
20.30,-112.60,07/26/00Z,45,-,TROPICAL STORM
20.80,-112.80,07/26/06Z,40,-,TROPICAL STORM
21.30,-113.00,07/26/12Z,35,-,TROPICAL STORM
