LAT,LON,TIME,WIND,PR,STAT
11.30,-105.70,07/18/00Z,25,-,TROPICAL DEPRESSION
11.40,-106.50,07/18/06Z,25,-,TROPICAL DEPRESSION
11.60,-107.20,07/18/12Z,25,-,TROPICAL DEPRESSION
12.10,-108.30,07/18/18Z,30,-,TROPICAL DEPRESSION
12.70,-109.30,07/19/00Z,40,-,TROPICAL STORM
13.40,-110.80,07/19/06Z,40,-,TROPICAL STORM
14.10,-112.20,07/19/12Z,75,-,HURRICANE-1
14.90,-113.30,07/19/18Z,100,-,HURRICANE-3
15.70,-114.50,07/20/00Z,100,-,HURRICANE-3
16.10,-115.40,07/20/06Z,100,-,HURRICANE-3
16.60,-116.40,07/20/12Z,100,-,HURRICANE-3
16.80,-116.70,07/20/18Z,60,991,TROPICAL STORM
16.90,-117.00,07/21/00Z,60,-,TROPICAL STORM
16.80,-118.70,07/21/06Z,60,-,TROPICAL STORM
16.70,-120.30,07/21/12Z,40,-,TROPICAL STORM
16.60,-121.10,07/21/18Z,40,1005,TROPICAL STORM
16.60,-122.00,07/22/00Z,40,-,TROPICAL STORM
16.60,-123.20,07/22/06Z,40,-,TROPICAL STORM
16.50,-124.40,07/22/12Z,35,-,TROPICAL STORM
16.40,-125.90,07/22/18Z,45,995,TROPICAL STORM
16.10,-127.30,07/23/00Z,45,-,TROPICAL STORM
15.80,-128.20,07/23/06Z,45,-,TROPICAL STORM
15.30,-129.00,07/23/12Z,35,-,TROPICAL STORM
