LAT,LON,TIME,WIND,PR,STAT
11.90,-98.20,07/31/00Z,25,-,TROPICAL DEPRESSION
12.00,-99.20,07/31/06Z,25,-,TROPICAL DEPRESSION
12.10,-100.10,07/31/12Z,25,-,TROPICAL DEPRESSION
12.30,-101.00,07/31/18Z,25,-,TROPICAL DEPRESSION
12.50,-101.80,08/01/00Z,25,-,TROPICAL DEPRESSION
13.40,-103.70,08/01/06Z,45,-,TROPICAL STORM
14.50,-105.40,08/01/12Z,75,-,HURRICANE-1
15.50,-106.30,08/01/18Z,75,-,HURRICANE-1
16.20,-107.20,08/02/00Z,75,-,HURRICANE-1
16.50,-108.20,08/02/06Z,75,-,HURRICANE-1
16.80,-109.20,08/02/12Z,75,-,HURRICANE-1
17.10,-110.10,08/02/18Z,75,-,HURRICANE-1
17.50,-110.80,08/03/00Z,90,-,HURRICANE-2
17.80,-111.20,08/03/06Z,100,-,HURRICANE-3
18.20,-111.50,08/03/12Z,100,-,HURRICANE-3
18.50,-111.80,08/03/18Z,80,-,HURRICANE-1
18.80,-112.00,08/04/00Z,65,978,HURRICANE-1
19.10,-112.20,08/04/06Z,65,-,HURRICANE-1
19.50,-112.50,08/04/12Z,65,-,HURRICANE-1
20.10,-112.80,08/04/18Z,65,-,HURRICANE-1
20.80,-113.50,08/05/00Z,65,-,HURRICANE-1
21.20,-114.60,08/05/06Z,65,-,HURRICANE-1
21.60,-115.80,08/05/12Z,65,-,HURRICANE-1
22.00,-117.00,08/05/18Z,45,988,TROPICAL STORM
22.50,-118.20,08/06/00Z,45,-,TROPICAL STORM
22.90,-119.40,08/06/06Z,45,-,TROPICAL STORM
23.40,-120.50,08/06/12Z,45,-,TROPICAL STORM
23.80,-121.70,08/06/18Z,25,-,TROPICAL DEPRESSION
23.80,-122.90,08/07/00Z,25,-,TROPICAL DEPRESSION
23.50,-123.60,08/07/06Z,25,-,TROPICAL DEPRESSION
23.10,-124.20,08/07/12Z,25,-,TROPICAL DEPRESSION
22.90,-124.90,08/07/18Z,25,-,TROPICAL DEPRESSION
22.70,-125.60,08/08/00Z,25,-,TROPICAL DEPRESSION
22.50,-126.30,08/08/06Z,25,-,TROPICAL DEPRESSION
22.30,-127.10,08/08/12Z,25,-,TROPICAL DEPRESSION
22.30,-127.10,08/08/18Z,25,-,TROPICAL DEPRESSION
