LAT,LON,TIME,WIND,PR,STAT
9.50,-100.00,11/25/12Z,25,-,TROPICAL DEPRESSION
9.60,-100.80,11/25/18Z,25,1009,TROPICAL DEPRESSION
9.60,-101.60,11/26/00Z,25,-,TROPICAL DEPRESSION
9.60,-102.30,11/26/06Z,25,-,TROPICAL DEPRESSION
9.70,-103.00,11/26/12Z,25,-,TROPICAL DEPRESSION
9.70,-104.00,11/26/18Z,25,-,TROPICAL DEPRESSION
9.80,-105.10,11/27/00Z,35,-,TROPICAL STORM
9.80,-106.20,11/27/06Z,35,-,TROPICAL STORM
9.80,-107.30,11/27/12Z,35,-,TROPICAL STORM
9.90,-108.30,11/27/18Z,30,-,TROPICAL DEPRESSION
10.10,-109.20,11/28/00Z,25,-,TROPICAL DEPRESSION
10.30,-109.90,11/28/06Z,25,-,TROPICAL DEPRESSION
10.50,-110.50,11/28/12Z,25,-,TROPICAL DEPRESSION
10.70,-110.90,11/28/18Z,25,-,TROPICAL DEPRESSION
11.00,-111.00,11/29/00Z,25,-,TROPICAL DEPRESSION
