LAT,LON,TIME,WIND,PR,STAT
10.00,-97.80,08/22/00Z,30,-,TROPICAL DEPRESSION
10.00,-98.90,08/22/06Z,30,-,TROPICAL DEPRESSION
10.20,-100.10,08/22/12Z,35,-,TROPICAL STORM
10.40,-101.40,08/22/18Z,35,-,TROPICAL STORM
10.90,-102.60,08/23/00Z,35,-,TROPICAL STORM
11.40,-103.30,08/23/06Z,35,-,TROPICAL STORM
12.10,-103.90,08/23/12Z,45,-,TROPICAL STORM
12.80,-104.80,08/23/18Z,45,-,TROPICAL STORM
13.60,-105.70,08/24/00Z,50,-,TROPICAL STORM
14.40,-106.20,08/24/06Z,50,-,TROPICAL STORM
15.10,-106.60,08/24/12Z,55,-,TROPICAL STORM
15.80,-106.90,08/24/18Z,65,-,HURRICANE-1
16.40,-107.20,08/25/00Z,65,-,HURRICANE-1
16.60,-107.50,08/25/06Z,70,-,HURRICANE-1
16.70,-107.80,08/25/12Z,75,-,HURRICANE-1
17.00,-108.20,08/25/18Z,75,-,HURRICANE-1
17.30,-108.60,08/26/00Z,75,-,HURRICANE-1
17.70,-109.00,08/26/06Z,75,-,HURRICANE-1
18.00,-109.50,08/26/12Z,75,-,HURRICANE-1
18.20,-110.00,08/26/18Z,85,941,HURRICANE-2
18.30,-110.60,08/27/00Z,95,-,HURRICANE-2
18.50,-111.20,08/27/06Z,95,-,HURRICANE-2
18.80,-111.90,08/27/12Z,110,-,HURRICANE-3
19.10,-112.70,08/27/18Z,110,-,HURRICANE-3
19.60,-113.30,08/28/00Z,100,-,HURRICANE-3
20.60,-114.10,08/28/06Z,100,-,HURRICANE-3
21.80,-115.00,08/28/12Z,100,-,HURRICANE-3
22.50,-115.60,08/28/18Z,65,962,HURRICANE-1
23.30,-116.20,08/29/00Z,65,-,HURRICANE-1
24.30,-117.00,08/29/06Z,50,-,TROPICAL STORM
25.40,-117.80,08/29/12Z,50,-,TROPICAL STORM
26.50,-118.60,08/29/18Z,50,-,TROPICAL STORM
27.60,-119.40,08/30/00Z,50,-,TROPICAL STORM
28.30,-119.80,08/30/06Z,50,999,TROPICAL STORM
28.90,-120.20,08/30/12Z,45,-,TROPICAL STORM
29.20,-120.50,08/30/18Z,35,-,TROPICAL STORM
29.40,-120.70,08/31/00Z,30,1006,TROPICAL DEPRESSION
