LAT,LON,TIME,WIND,PR,STAT
10.90,-94.10,08/28/00Z,25,-,TROPICAL DEPRESSION
10.70,-94.90,08/28/06Z,25,-,TROPICAL DEPRESSION
10.50,-95.80,08/28/12Z,25,-,TROPICAL DEPRESSION
10.40,-96.60,08/28/18Z,25,-,TROPICAL DEPRESSION
10.40,-97.50,08/29/00Z,30,-,TROPICAL DEPRESSION
10.50,-98.40,08/29/06Z,30,-,TROPICAL DEPRESSION
10.90,-99.40,08/29/12Z,30,-,TROPICAL DEPRESSION
11.70,-101.20,08/29/18Z,40,-,TROPICAL STORM
12.60,-103.00,08/30/00Z,40,-,TROPICAL STORM
13.10,-104.00,08/30/06Z,40,-,TROPICAL STORM
13.60,-104.90,08/30/12Z,40,-,TROPICAL STORM
14.00,-105.90,08/30/18Z,80,984,HURRICANE-1
14.40,-106.90,08/31/00Z,80,-,HURRICANE-1
14.90,-108.10,08/31/06Z,80,-,HURRICANE-1
15.30,-109.40,08/31/12Z,85,-,HURRICANE-2
15.50,-110.80,08/31/18Z,110,972,HURRICANE-3
15.80,-112.20,09/01/00Z,110,-,HURRICANE-3
16.20,-113.60,09/01/06Z,110,-,HURRICANE-3
16.70,-114.90,09/01/12Z,110,-,HURRICANE-3
17.10,-116.00,09/01/18Z,100,-,HURRICANE-3
17.50,-117.10,09/02/00Z,95,-,HURRICANE-2
17.90,-118.20,09/02/06Z,95,-,HURRICANE-2
18.20,-119.20,09/02/12Z,95,-,HURRICANE-2
18.60,-120.00,09/02/18Z,85,962,HURRICANE-2
19.10,-120.70,09/03/00Z,65,-,HURRICANE-1
19.60,-121.70,09/03/06Z,65,-,HURRICANE-1
20.30,-122.60,09/03/12Z,65,-,HURRICANE-1
21.10,-123.40,09/03/18Z,70,-,HURRICANE-1
22.00,-124.00,09/04/00Z,60,-,TROPICAL STORM
23.00,-124.50,09/04/06Z,60,-,TROPICAL STORM
24.20,-124.90,09/04/12Z,60,-,TROPICAL STORM
26.40,-125.00,09/04/18Z,60,990,TROPICAL STORM
28.70,-124.50,09/05/00Z,45,-,TROPICAL STORM
29.90,-123.40,09/05/06Z,45,-,TROPICAL STORM
30.70,-122.10,09/05/12Z,45,-,TROPICAL STORM
31.30,-120.80,09/05/18Z,40,1009,TROPICAL STORM
31.90,-119.50,09/06/00Z,30,-,TROPICAL DEPRESSION
32.40,-118.40,09/06/06Z,30,-,XXX
33.00,-117.50,09/06/12Z,25,-,XXX
33.50,-116.70,09/06/18Z,25,-,XXX
34.10,-116.00,09/07/00Z,25,-,XXX
