LAT,LON,TIME,WIND,PR,STAT
10.60,-95.80,06/26/00Z,30,-,TROPICAL DEPRESSION
11.10,-96.50,06/26/06Z,30,-,TROPICAL DEPRESSION
11.70,-97.10,06/26/12Z,30,-,TROPICAL DEPRESSION
12.10,-97.40,06/26/18Z,30,-,TROPICAL DEPRESSION
12.50,-97.70,06/27/00Z,30,-,TROPICAL DEPRESSION
12.70,-97.80,06/27/06Z,30,-,TROPICAL DEPRESSION
12.90,-98.00,06/27/12Z,30,-,TROPICAL DEPRESSION
13.30,-98.30,06/27/18Z,50,-,TROPICAL STORM
13.70,-98.50,06/28/00Z,50,-,TROPICAL STORM
14.30,-98.90,06/28/06Z,55,-,TROPICAL STORM
15.00,-99.30,06/28/12Z,55,-,TROPICAL STORM
16.00,-99.80,06/28/18Z,55,999,TROPICAL STORM
17.00,-100.10,06/29/00Z,25,-,TROPICAL DEPRESSION
17.00,-100.00,06/29/06Z,25,-,XXX
17.00,-99.80,06/29/12Z,25,-,XXX
17.60,-99.90,06/29/18Z,25,-,XXX
18.20,-100.10,06/30/00Z,25,-,XXX
