LAT,LON,TIME,WIND,PR,STAT
12.80,-94.00,07/25/00Z,30,-,TROPICAL DEPRESSION
13.00,-94.80,07/25/06Z,30,-,TROPICAL DEPRESSION
13.30,-95.50,07/25/12Z,30,-,TROPICAL DEPRESSION
13.60,-96.00,07/25/18Z,30,-,TROPICAL DEPRESSION
13.90,-96.50,07/26/00Z,30,-,TROPICAL DEPRESSION
14.20,-97.00,07/26/06Z,30,-,TROPICAL DEPRESSION
14.60,-97.60,07/26/12Z,30,-,TROPICAL DEPRESSION
15.20,-98.30,07/26/18Z,30,-,TROPICAL DEPRESSION
15.70,-99.40,07/27/00Z,30,-,TROPICAL DEPRESSION
16.00,-100.80,07/27/06Z,40,-,TROPICAL STORM
16.00,-102.30,07/27/12Z,45,-,TROPICAL STORM
16.10,-103.60,07/27/18Z,50,-,TROPICAL STORM
16.30,-104.70,07/28/00Z,55,995,TROPICAL STORM
16.50,-105.50,07/28/06Z,55,-,TROPICAL STORM
16.70,-106.30,07/28/12Z,55,-,TROPICAL STORM
17.20,-107.00,07/28/18Z,60,-,TROPICAL STORM
17.70,-107.70,07/29/00Z,70,-,HURRICANE-1
18.20,-108.70,07/29/06Z,75,-,HURRICANE-1
18.60,-109.80,07/29/12Z,80,-,HURRICANE-1
18.80,-110.70,07/29/18Z,60,1006,TROPICAL STORM
19.00,-111.60,07/30/00Z,35,-,TROPICAL STORM
19.40,-112.60,07/30/06Z,30,-,TROPICAL DEPRESSION
19.80,-113.60,07/30/12Z,25,-,TROPICAL DEPRESSION
