LAT,LON,TIME,WIND,PR,STAT
13.20,-113.60,09/23/00Z,30,-,TROPICAL DEPRESSION
13.20,-113.50,09/23/06Z,30,-,TROPICAL DEPRESSION
13.30,-113.40,09/23/12Z,30,-,TROPICAL DEPRESSION
13.40,-113.20,09/23/18Z,30,-,TROPICAL DEPRESSION
13.50,-113.10,09/24/00Z,30,-,TROPICAL DEPRESSION
13.70,-112.80,09/24/06Z,30,-,TROPICAL DEPRESSION
14.00,-112.50,09/24/12Z,30,-,TROPICAL DEPRESSION
14.40,-111.80,09/24/18Z,35,-,TROPICAL STORM
14.80,-111.00,09/25/00Z,35,-,TROPICAL STORM
15.40,-110.00,09/25/06Z,35,-,TROPICAL STORM
16.00,-109.10,09/25/12Z,35,-,TROPICAL STORM
16.60,-108.30,09/25/18Z,30,-,TROPICAL DEPRESSION
17.20,-107.80,09/26/00Z,30,-,TROPICAL DEPRESSION
18.60,-107.50,09/26/06Z,30,-,TROPICAL DEPRESSION
20.00,-107.30,09/26/12Z,30,-,TROPICAL DEPRESSION
21.60,-106.90,09/26/18Z,25,-,TROPICAL DEPRESSION
23.10,-106.50,09/27/00Z,25,-,TROPICAL DEPRESSION
24.60,-105.90,09/27/06Z,25,-,XXX
26.00,-105.00,09/27/12Z,25,-,XXX
