LAT,LON,TIME,WIND,PR,STAT
11.20,-102.80,10/05/00Z,30,-,TROPICAL DEPRESSION
11.70,-103.70,10/05/06Z,35,-,TROPICAL STORM
12.20,-104.70,10/05/12Z,35,-,TROPICAL STORM
12.70,-105.80,10/05/18Z,40,-,TROPICAL STORM
13.30,-107.00,10/06/00Z,45,-,TROPICAL STORM
13.90,-107.90,10/06/06Z,45,-,TROPICAL STORM
14.60,-108.80,10/06/12Z,50,-,TROPICAL STORM
15.20,-110.00,10/06/18Z,50,-,TROPICAL STORM
15.70,-111.20,10/07/00Z,55,-,TROPICAL STORM
16.00,-112.00,10/07/06Z,60,-,TROPICAL STORM
16.30,-112.80,10/07/12Z,60,-,TROPICAL STORM
16.50,-113.70,10/07/18Z,70,-,HURRICANE-1
16.70,-114.60,10/08/00Z,70,-,HURRICANE-1
17.00,-115.60,10/08/06Z,70,-,HURRICANE-1
17.10,-116.60,10/08/12Z,75,-,HURRICANE-1
17.10,-117.80,10/08/18Z,75,990,HURRICANE-1
17.00,-119.00,10/09/00Z,70,-,HURRICANE-1
17.00,-119.00,10/09/06Z,50,-,TROPICAL STORM
17.00,-119.00,10/09/12Z,45,-,TROPICAL STORM
