LAT,LON,TIME,WIND,PR,STAT
11.20,-117.00,08/23/00Z,25,-,TROPICAL DEPRESSION
11.30,-117.60,08/23/06Z,35,-,TROPICAL STORM
11.50,-118.20,08/23/12Z,35,-,TROPICAL STORM
11.80,-118.60,08/23/18Z,35,-,TROPICAL STORM
12.00,-119.00,08/24/00Z,35,-,TROPICAL STORM
12.20,-120.00,08/24/06Z,40,-,TROPICAL STORM
12.30,-120.90,08/24/12Z,40,-,TROPICAL STORM
12.40,-120.20,08/24/18Z,40,-,TROPICAL STORM
12.50,-119.30,08/25/00Z,40,-,TROPICAL STORM
12.70,-119.10,08/25/06Z,40,-,TROPICAL STORM
13.00,-118.80,08/25/12Z,40,-,TROPICAL STORM
13.60,-118.20,08/25/18Z,45,-,TROPICAL STORM
14.30,-117.50,08/26/00Z,45,-,TROPICAL STORM
15.10,-117.10,08/26/06Z,40,-,TROPICAL STORM
15.90,-117.20,08/26/12Z,40,-,TROPICAL STORM
16.50,-117.80,08/26/18Z,35,-,TROPICAL STORM
16.80,-118.40,08/27/00Z,35,-,TROPICAL STORM
16.70,-118.90,08/27/06Z,30,-,TROPICAL DEPRESSION
16.60,-119.50,08/27/12Z,30,-,TROPICAL DEPRESSION
16.60,-120.60,08/27/18Z,30,-,TROPICAL DEPRESSION
16.60,-122.30,08/28/00Z,30,-,TROPICAL DEPRESSION
