LAT,LON,TIME,WIND,PR,STAT
15.80,-97.50,09/21/00Z,30,-,TROPICAL DEPRESSION
16.10,-98.00,09/21/06Z,30,-,TROPICAL DEPRESSION
16.20,-98.80,09/21/12Z,40,-,TROPICAL STORM
16.50,-100.70,09/21/18Z,40,-,TROPICAL STORM
16.90,-102.60,09/22/00Z,40,-,TROPICAL STORM
17.40,-103.70,09/22/06Z,40,-,TROPICAL STORM
18.00,-104.60,09/22/12Z,40,-,TROPICAL STORM
18.70,-105.20,09/22/18Z,50,-,TROPICAL STORM
19.40,-105.80,09/23/00Z,50,-,TROPICAL STORM
19.90,-106.30,09/23/06Z,50,-,TROPICAL STORM
20.60,-106.70,09/23/12Z,65,-,HURRICANE-1
22.20,-107.10,09/23/18Z,75,-,HURRICANE-1
24.00,-107.00,09/24/00Z,90,-,HURRICANE-2
25.50,-106.20,09/24/06Z,25,-,XXX
27.00,-104.50,09/24/12Z,25,-,XXX
