LAT,LON,TIME,WIND,PR,STAT
14.40,-110.20,06/28/00Z,30,-,TROPICAL DEPRESSION
14.40,-110.60,06/28/06Z,30,-,TROPICAL DEPRESSION
14.70,-111.00,06/28/12Z,35,-,TROPICAL STORM
15.40,-111.50,06/28/18Z,40,-,TROPICAL STORM
16.20,-112.20,06/29/00Z,40,-,TROPICAL STORM
16.80,-112.90,06/29/06Z,45,-,TROPICAL STORM
17.20,-113.80,06/29/12Z,45,-,TROPICAL STORM
17.40,-114.60,06/29/18Z,45,-,TROPICAL STORM
17.30,-115.50,06/30/00Z,50,-,TROPICAL STORM
17.10,-116.30,06/30/06Z,50,-,TROPICAL STORM
16.90,-117.00,06/30/12Z,50,-,TROPICAL STORM
16.80,-117.30,06/30/18Z,55,-,TROPICAL STORM
16.70,-117.60,07/01/00Z,45,-,TROPICAL STORM
16.50,-118.20,07/01/06Z,45,-,TROPICAL STORM
16.30,-118.70,07/01/12Z,45,-,TROPICAL STORM
15.80,-119.10,07/01/18Z,45,-,TROPICAL STORM
15.40,-119.60,07/02/00Z,40,-,TROPICAL STORM
15.20,-120.10,07/02/06Z,30,-,TROPICAL DEPRESSION
15.00,-120.70,07/02/12Z,30,-,TROPICAL DEPRESSION
14.80,-121.20,07/02/18Z,30,-,TROPICAL DEPRESSION
14.60,-121.80,07/03/00Z,30,-,TROPICAL DEPRESSION
14.50,-122.10,07/03/06Z,25,-,TROPICAL DEPRESSION
14.40,-122.50,07/03/12Z,25,-,TROPICAL DEPRESSION
