LAT,LON,TIME,WIND,PR,STAT
12.50,-100.30,08/24/00Z,30,-,TROPICAL DEPRESSION
13.10,-101.70,08/24/06Z,30,-,TROPICAL DEPRESSION
13.70,-103.10,08/24/12Z,30,-,TROPICAL DEPRESSION
14.30,-104.20,08/24/18Z,30,-,TROPICAL DEPRESSION
14.90,-105.30,08/25/00Z,30,-,TROPICAL DEPRESSION
15.30,-106.00,08/25/06Z,30,-,TROPICAL DEPRESSION
15.50,-106.60,08/25/12Z,30,-,TROPICAL DEPRESSION
15.80,-107.20,08/25/18Z,40,-,TROPICAL STORM
16.00,-107.80,08/26/00Z,45,-,TROPICAL STORM
16.20,-108.50,08/26/06Z,45,-,TROPICAL STORM
16.30,-109.30,08/26/12Z,45,-,TROPICAL STORM
16.30,-109.80,08/26/18Z,50,-,TROPICAL STORM
16.40,-110.20,08/27/00Z,55,-,TROPICAL STORM
16.50,-110.60,08/27/06Z,55,-,TROPICAL STORM
16.50,-111.00,08/27/12Z,65,-,HURRICANE-1
16.50,-111.60,08/27/18Z,55,-,TROPICAL STORM
16.40,-112.20,08/28/00Z,55,-,TROPICAL STORM
16.30,-113.00,08/28/06Z,55,-,TROPICAL STORM
16.30,-114.10,08/28/12Z,55,-,TROPICAL STORM
16.30,-115.30,08/28/18Z,55,-,TROPICAL STORM
16.40,-116.50,08/29/00Z,55,-,TROPICAL STORM
16.60,-117.80,08/29/06Z,55,-,TROPICAL STORM
17.00,-119.00,08/29/12Z,45,-,TROPICAL STORM
17.70,-120.10,08/29/18Z,45,-,TROPICAL STORM
18.30,-121.30,08/30/00Z,40,-,TROPICAL STORM
18.70,-122.60,08/30/06Z,40,-,TROPICAL STORM
18.90,-124.00,08/30/12Z,40,-,TROPICAL STORM
19.00,-125.10,08/30/18Z,35,-,TROPICAL STORM
19.00,-126.20,08/31/00Z,30,-,TROPICAL DEPRESSION
19.00,-127.60,08/31/06Z,30,-,TROPICAL DEPRESSION
19.00,-129.00,08/31/12Z,25,-,TROPICAL DEPRESSION
