LAT,LON,TIME,WIND,PR,STAT
10.50,-101.00,08/29/00Z,35,-,TROPICAL STORM
10.90,-102.00,08/29/06Z,35,-,TROPICAL STORM
11.20,-102.90,08/29/12Z,45,-,TROPICAL STORM
11.40,-103.70,08/29/18Z,65,-,HURRICANE-1
11.70,-104.40,08/30/00Z,65,-,HURRICANE-1
11.90,-105.00,08/30/06Z,70,-,HURRICANE-1
12.20,-105.50,08/30/12Z,70,-,HURRICANE-1
12.40,-105.90,08/30/18Z,70,-,HURRICANE-1
12.60,-106.40,08/31/00Z,70,-,HURRICANE-1
13.20,-107.30,08/31/06Z,70,-,HURRICANE-1
14.00,-108.10,08/31/12Z,70,-,HURRICANE-1
14.90,-108.90,08/31/18Z,70,-,HURRICANE-1
15.90,-109.50,09/01/00Z,75,-,HURRICANE-1
16.80,-109.90,09/01/06Z,80,-,HURRICANE-1
17.50,-110.20,09/01/12Z,80,-,HURRICANE-1
18.00,-110.60,09/01/18Z,80,-,HURRICANE-1
18.50,-111.00,09/02/00Z,80,-,HURRICANE-1
19.00,-111.40,09/02/06Z,85,-,HURRICANE-2
19.40,-111.80,09/02/12Z,90,-,HURRICANE-2
19.60,-112.10,09/02/18Z,90,-,HURRICANE-2
19.90,-112.50,09/03/00Z,90,-,HURRICANE-2
20.20,-113.10,09/03/06Z,110,-,HURRICANE-3
20.40,-113.70,09/03/12Z,115,-,HURRICANE-4
20.70,-114.40,09/03/18Z,110,-,HURRICANE-3
20.90,-115.20,09/04/00Z,110,-,HURRICANE-3
21.10,-116.10,09/04/06Z,105,-,HURRICANE-3
21.30,-117.00,09/04/12Z,90,-,HURRICANE-2
21.50,-118.00,09/04/18Z,80,-,HURRICANE-1
21.70,-119.00,09/05/00Z,70,-,HURRICANE-1
21.80,-120.00,09/05/06Z,60,-,TROPICAL STORM
21.80,-121.10,09/05/12Z,50,-,TROPICAL STORM
21.80,-122.00,09/05/18Z,45,-,TROPICAL STORM
21.70,-123.50,09/06/00Z,40,-,TROPICAL STORM
21.60,-124.90,09/06/06Z,40,-,TROPICAL STORM
21.60,-126.30,09/06/12Z,30,-,TROPICAL DEPRESSION
21.60,-127.60,09/06/18Z,25,-,TROPICAL DEPRESSION
21.60,-128.90,09/07/00Z,25,-,TROPICAL DEPRESSION
