LAT,LON,TIME,WIND,PR,STAT
11.50,-117.80,09/28/12Z,25,-,TROPICAL DEPRESSION
11.60,-118.90,09/28/18Z,30,-,TROPICAL DEPRESSION
11.70,-120.00,09/29/00Z,35,-,TROPICAL STORM
11.80,-121.20,09/29/06Z,35,-,TROPICAL STORM
12.00,-122.30,09/29/12Z,35,-,TROPICAL STORM
12.10,-123.00,09/29/18Z,35,-,TROPICAL STORM
12.30,-123.70,09/30/00Z,35,-,TROPICAL STORM
12.40,-124.20,09/30/06Z,35,-,TROPICAL STORM
12.60,-124.70,09/30/12Z,40,-,TROPICAL STORM
12.90,-125.40,09/30/18Z,45,-,TROPICAL STORM
13.30,-126.00,10/01/00Z,35,-,TROPICAL STORM
13.60,-126.60,10/01/06Z,30,-,TROPICAL DEPRESSION
14.00,-127.00,10/01/12Z,30,-,TROPICAL DEPRESSION
14.40,-127.30,10/01/18Z,30,-,TROPICAL DEPRESSION
15.00,-127.30,10/02/00Z,25,-,TROPICAL DEPRESSION
