LAT,LON,TIME,WIND,PR,STAT
12.00,-103.00,07/16/00Z,30,-,TROPICAL DEPRESSION
12.40,-105.20,07/16/06Z,30,-,TROPICAL DEPRESSION
13.00,-107.00,07/16/12Z,35,-,TROPICAL STORM
13.50,-108.10,07/16/18Z,45,-,TROPICAL STORM
14.00,-109.20,07/17/00Z,45,-,TROPICAL STORM
14.50,-111.20,07/17/06Z,45,-,TROPICAL STORM
14.70,-113.30,07/17/12Z,55,-,TROPICAL STORM
14.60,-114.40,07/17/18Z,65,-,HURRICANE-1
14.50,-115.50,07/18/00Z,75,-,HURRICANE-1
14.60,-116.80,07/18/06Z,75,-,HURRICANE-1
14.70,-118.10,07/18/12Z,75,-,HURRICANE-1
14.80,-119.60,07/18/18Z,85,-,HURRICANE-2
14.90,-121.10,07/19/00Z,80,-,HURRICANE-1
15.00,-122.70,07/19/06Z,75,-,HURRICANE-1
15.30,-124.30,07/19/12Z,75,-,HURRICANE-1
15.70,-125.80,07/19/18Z,75,-,HURRICANE-1
16.20,-127.20,07/20/00Z,75,-,HURRICANE-1
16.70,-128.30,07/20/06Z,65,-,HURRICANE-1
17.10,-129.40,07/20/12Z,55,-,TROPICAL STORM
17.50,-131.10,07/20/18Z,50,-,TROPICAL STORM
17.80,-132.90,07/21/00Z,55,-,TROPICAL STORM
18.10,-134.60,07/21/06Z,45,-,TROPICAL STORM
18.40,-136.40,07/21/12Z,35,-,TROPICAL STORM
18.60,-138.10,07/21/18Z,30,-,TROPICAL DEPRESSION
18.60,-139.80,07/22/00Z,30,-,TROPICAL DEPRESSION
18.60,-141.40,07/22/06Z,30,-,TROPICAL DEPRESSION
18.60,-142.80,07/22/12Z,30,-,TROPICAL DEPRESSION
18.50,-144.20,07/22/18Z,30,-,TROPICAL DEPRESSION
18.40,-145.70,07/23/00Z,30,-,TROPICAL DEPRESSION
18.40,-147.40,07/23/06Z,30,-,TROPICAL DEPRESSION
