LAT,LON,TIME,WIND,PR,STAT
13.40,-141.10,09/22/00Z,30,-,TROPICAL DEPRESSION
13.60,-141.30,09/22/06Z,30,-,TROPICAL DEPRESSION
13.70,-141.60,09/22/12Z,30,-,TROPICAL DEPRESSION
13.90,-141.70,09/22/18Z,30,-,TROPICAL DEPRESSION
14.00,-141.90,09/23/00Z,35,-,TROPICAL STORM
14.10,-141.80,09/23/06Z,35,-,TROPICAL STORM
14.20,-141.80,09/23/12Z,40,-,TROPICAL STORM
14.30,-141.90,09/23/18Z,45,-,TROPICAL STORM
14.40,-142.00,09/24/00Z,45,-,TROPICAL STORM
14.40,-142.10,09/24/06Z,60,-,TROPICAL STORM
14.30,-142.30,09/24/12Z,60,-,TROPICAL STORM
14.20,-142.30,09/24/18Z,65,-,HURRICANE-1
14.10,-142.40,09/25/00Z,70,-,HURRICANE-1
14.10,-142.80,09/25/06Z,70,-,HURRICANE-1
14.10,-143.30,09/25/12Z,70,-,HURRICANE-1
14.20,-143.50,09/25/18Z,70,-,HURRICANE-1
14.30,-144.00,09/26/00Z,70,-,HURRICANE-1
14.70,-144.30,09/26/06Z,70,-,HURRICANE-1
15.10,-144.50,09/26/12Z,75,-,HURRICANE-1
15.50,-144.60,09/26/18Z,75,-,HURRICANE-1
16.00,-145.00,09/27/00Z,80,-,HURRICANE-1
16.60,-145.30,09/27/06Z,80,-,HURRICANE-1
17.20,-145.60,09/27/12Z,75,-,HURRICANE-1
17.70,-146.10,09/27/18Z,75,-,HURRICANE-1
18.20,-146.60,09/28/00Z,75,-,HURRICANE-1
18.70,-147.40,09/28/06Z,75,-,HURRICANE-1
19.10,-148.30,09/28/12Z,75,-,HURRICANE-1
19.50,-149.30,09/28/18Z,70,-,HURRICANE-1
20.30,-150.00,09/29/00Z,65,-,HURRICANE-1
20.70,-150.50,09/29/06Z,65,-,HURRICANE-1
21.40,-151.20,09/29/12Z,60,-,TROPICAL STORM
22.00,-151.90,09/29/18Z,55,-,TROPICAL STORM
22.70,-152.60,09/30/00Z,50,-,TROPICAL STORM
23.40,-152.70,09/30/06Z,50,-,TROPICAL STORM
24.00,-152.60,09/30/12Z,45,-,TROPICAL STORM
24.50,-152.40,09/30/18Z,45,-,TROPICAL STORM
25.20,-152.10,10/01/00Z,40,-,TROPICAL STORM
25.40,-152.20,10/01/06Z,35,-,TROPICAL STORM
25.70,-152.30,10/01/12Z,35,-,TROPICAL STORM
25.90,-152.40,10/01/18Z,30,-,TROPICAL DEPRESSION
26.00,-152.50,10/02/00Z,30,-,TROPICAL DEPRESSION
26.30,-153.00,10/02/06Z,30,-,TROPICAL DEPRESSION
