LAT,LON,TIME,WIND,PR,STAT
14.50,-109.60,09/07/12Z,30,1008,TROPICAL DEPRESSION
15.00,-109.10,09/07/18Z,30,-,TROPICAL DEPRESSION
15.50,-109.30,09/08/00Z,35,-,TROPICAL STORM
16.00,-110.40,09/08/06Z,55,-,TROPICAL STORM
16.60,-111.50,09/08/12Z,55,-,TROPICAL STORM
17.40,-111.90,09/08/18Z,55,-,TROPICAL STORM
18.40,-112.20,09/09/00Z,60,-,TROPICAL STORM
19.60,-112.10,09/09/06Z,55,-,TROPICAL STORM
21.00,-112.30,09/09/12Z,45,-,TROPICAL STORM
23.00,-113.30,09/09/18Z,45,-,TROPICAL STORM
25.00,-114.00,09/10/00Z,70,986,HURRICANE-1
27.50,-114.80,09/10/06Z,55,-,TROPICAL STORM
30.00,-115.50,09/10/12Z,45,-,TROPICAL STORM
31.30,-115.90,09/10/18Z,45,-,XXX
32.50,-116.00,09/11/00Z,30,-,XXX
34.90,-116.10,09/11/06Z,30,-,XXX
38.00,-116.00,09/11/12Z,30,-,XXX
