LAT,LON,TIME,WIND,PR,STAT
13.00,-107.00,09/25/18Z,25,-,TROPICAL DEPRESSION
13.10,-108.00,09/26/00Z,25,-,TROPICAL DEPRESSION
13.60,-108.70,09/26/06Z,30,-,TROPICAL DEPRESSION
14.00,-109.00,09/26/12Z,30,-,TROPICAL DEPRESSION
14.40,-109.00,09/26/18Z,35,-,TROPICAL STORM
14.80,-108.90,09/27/00Z,40,-,TROPICAL STORM
15.20,-108.80,09/27/06Z,45,-,TROPICAL STORM
15.60,-108.70,09/27/12Z,50,-,TROPICAL STORM
15.90,-108.70,09/27/18Z,55,-,TROPICAL STORM
16.30,-108.60,09/28/00Z,65,-,HURRICANE-1
16.90,-108.50,09/28/06Z,80,-,HURRICANE-1
17.50,-108.30,09/28/12Z,85,-,HURRICANE-2
18.00,-108.10,09/28/18Z,90,-,HURRICANE-2
18.50,-107.90,09/29/00Z,100,-,HURRICANE-3
18.80,-107.90,09/29/06Z,105,-,HURRICANE-3
19.00,-108.00,09/29/12Z,110,-,HURRICANE-3
19.30,-108.10,09/29/18Z,120,971,HURRICANE-4
19.80,-108.30,09/30/00Z,120,-,HURRICANE-4
20.40,-108.50,09/30/06Z,120,-,HURRICANE-4
21.40,-108.70,09/30/12Z,120,948,HURRICANE-4
22.60,-108.90,09/30/18Z,120,971,HURRICANE-4
23.80,-109.20,10/01/00Z,120,-,HURRICANE-4
25.00,-109.40,10/01/06Z,115,-,HURRICANE-4
26.30,-109.40,10/01/12Z,110,-,HURRICANE-3
27.50,-109.20,10/01/18Z,70,-,XXX
28.80,-108.60,10/02/00Z,35,-,XXX
