LAT,LON,TIME,WIND,PR,STAT
13.00,-109.00,06/25/12Z,25,-,TROPICAL DEPRESSION
13.70,-110.00,06/25/18Z,25,-,TROPICAL DEPRESSION
14.30,-111.20,06/26/00Z,25,-,TROPICAL DEPRESSION
14.60,-112.60,06/26/06Z,25,-,TROPICAL DEPRESSION
15.00,-114.00,06/26/12Z,35,-,TROPICAL STORM
15.60,-115.90,06/26/18Z,35,-,TROPICAL STORM
16.50,-116.80,06/27/00Z,35,-,TROPICAL STORM
17.20,-117.90,06/27/06Z,35,-,TROPICAL STORM
18.00,-118.80,06/27/12Z,35,-,TROPICAL STORM
18.80,-120.10,06/27/18Z,35,-,TROPICAL STORM
19.60,-121.40,06/28/00Z,35,-,TROPICAL STORM
20.00,-122.50,06/28/06Z,25,-,XXX
20.10,-123.40,06/28/12Z,25,-,XXX
