LAT,LON,TIME,WIND,PR,STAT
17.60,-106.50,08/13/00Z,30,-,TROPICAL DEPRESSION
17.90,-106.90,08/13/06Z,30,-,TROPICAL DEPRESSION
18.40,-107.20,08/13/12Z,30,-,TROPICAL DEPRESSION
18.80,-107.70,08/13/18Z,45,-,TROPICAL STORM
19.10,-108.10,08/14/00Z,50,-,TROPICAL STORM
19.50,-108.50,08/14/06Z,55,-,TROPICAL STORM
19.90,-108.90,08/14/12Z,55,-,TROPICAL STORM
20.30,-109.30,08/14/18Z,65,979,HURRICANE-1
21.00,-110.00,08/15/00Z,65,-,HURRICANE-1
21.90,-110.20,08/15/06Z,65,-,HURRICANE-1
22.70,-110.50,08/15/12Z,65,-,HURRICANE-1
23.60,-110.80,08/15/18Z,65,979,HURRICANE-1
25.00,-112.00,08/16/00Z,65,-,HURRICANE-1
26.40,-113.20,08/16/06Z,50,-,TROPICAL STORM
27.70,-114.50,08/16/12Z,35,-,TROPICAL STORM
28.80,-115.80,08/16/18Z,35,-,TROPICAL STORM
29.90,-116.60,08/17/00Z,35,-,TROPICAL STORM
30.70,-117.00,08/17/06Z,30,-,TROPICAL DEPRESSION
31.40,-117.80,08/17/12Z,25,-,TROPICAL DEPRESSION
32.20,-118.30,08/17/18Z,25,-,TROPICAL DEPRESSION
33.00,-118.60,08/18/00Z,25,-,TROPICAL DEPRESSION
