LAT,LON,TIME,WIND,PR,STAT
10.70,-106.50,09/24/00Z,35,-,TROPICAL STORM
11.80,-107.40,09/24/06Z,35,-,TROPICAL STORM
13.00,-108.10,09/24/12Z,35,-,TROPICAL STORM
14.20,-108.70,09/24/18Z,35,-,TROPICAL STORM
15.50,-109.20,09/25/00Z,25,-,TROPICAL DEPRESSION
17.30,-109.90,09/25/06Z,25,-,TROPICAL DEPRESSION
19.00,-110.90,09/25/12Z,25,-,TROPICAL DEPRESSION
20.00,-112.20,09/25/18Z,25,-,TROPICAL DEPRESSION
21.00,-113.60,09/26/00Z,25,-,TROPICAL DEPRESSION
22.10,-114.90,09/26/06Z,25,-,TROPICAL DEPRESSION
23.20,-115.80,09/26/12Z,25,-,TROPICAL DEPRESSION
24.50,-116.00,09/26/18Z,25,-,TROPICAL DEPRESSION
25.80,-115.80,09/27/00Z,25,-,TROPICAL DEPRESSION
26.90,-115.60,09/27/06Z,25,-,XXX
27.80,-115.20,09/27/12Z,25,-,XXX
