LAT,LON,TIME,WIND,PR,STAT
12.20,-121.00,08/18/00Z,30,-,TROPICAL DEPRESSION
12.30,-121.70,08/18/06Z,30,-,TROPICAL DEPRESSION
12.40,-122.40,08/18/12Z,30,-,TROPICAL DEPRESSION
12.40,-123.30,08/18/18Z,30,-,TROPICAL DEPRESSION
12.30,-123.80,08/19/00Z,35,-,TROPICAL STORM
12.20,-124.30,08/19/06Z,35,-,TROPICAL STORM
12.10,-124.60,08/19/12Z,35,-,TROPICAL STORM
12.00,-125.00,08/19/18Z,40,-,TROPICAL STORM
12.20,-125.60,08/20/00Z,55,-,TROPICAL STORM
12.40,-126.10,08/20/06Z,60,-,TROPICAL STORM
12.80,-126.80,08/20/12Z,60,-,TROPICAL STORM
13.30,-127.30,08/20/18Z,60,-,TROPICAL STORM
13.70,-128.20,08/21/00Z,60,-,TROPICAL STORM
14.10,-129.10,08/21/06Z,60,-,TROPICAL STORM
14.40,-130.10,08/21/12Z,50,-,TROPICAL STORM
14.90,-131.10,08/21/18Z,50,-,TROPICAL STORM
15.40,-132.40,08/22/00Z,60,-,TROPICAL STORM
15.80,-133.60,08/22/06Z,60,-,TROPICAL STORM
15.70,-134.80,08/22/12Z,70,-,HURRICANE-1
15.60,-135.80,08/22/18Z,65,-,HURRICANE-1
15.50,-137.00,08/23/00Z,65,-,HURRICANE-1
15.40,-138.20,08/23/06Z,60,-,TROPICAL STORM
15.40,-139.40,08/23/12Z,55,-,TROPICAL STORM
15.50,-140.50,08/23/18Z,60,-,TROPICAL STORM
15.40,-141.70,08/24/00Z,65,-,HURRICANE-1
15.50,-143.00,08/24/06Z,70,-,HURRICANE-1
15.70,-143.70,08/24/12Z,75,-,HURRICANE-1
15.90,-145.20,08/24/18Z,80,-,HURRICANE-1
16.30,-145.20,08/25/00Z,90,-,HURRICANE-2
16.00,-146.90,08/25/06Z,80,-,HURRICANE-1
15.90,-147.80,08/25/12Z,70,-,HURRICANE-1
15.80,-148.50,08/25/18Z,60,-,TROPICAL STORM
15.40,-149.30,08/26/00Z,50,-,TROPICAL STORM
15.00,-150.00,08/26/06Z,50,-,TROPICAL STORM
14.80,-150.80,08/26/12Z,45,-,TROPICAL STORM
14.80,-151.70,08/26/18Z,45,-,TROPICAL STORM
15.10,-152.50,08/27/00Z,40,-,TROPICAL STORM
15.00,-153.50,08/27/06Z,40,-,TROPICAL STORM
14.90,-154.50,08/27/12Z,35,-,TROPICAL STORM
15.00,-156.50,08/27/18Z,35,-,TROPICAL STORM
15.30,-156.70,08/28/00Z,35,-,TROPICAL STORM
15.50,-157.50,08/28/06Z,35,-,TROPICAL STORM
15.40,-158.30,08/28/12Z,35,-,TROPICAL STORM
15.00,-159.00,08/28/18Z,35,-,TROPICAL STORM
14.80,-159.70,08/29/00Z,35,-,TROPICAL STORM
14.90,-161.50,08/29/06Z,35,-,TROPICAL STORM
14.80,-163.00,08/29/12Z,35,-,TROPICAL STORM
14.40,-164.60,08/29/18Z,35,-,TROPICAL STORM
14.80,-166.20,08/30/00Z,30,-,TROPICAL DEPRESSION
14.70,-167.70,08/30/06Z,25,-,TROPICAL DEPRESSION
