LAT,LON,TIME,WIND,PR,STAT
12.80,-98.00,08/30/18Z,30,-,TROPICAL DEPRESSION
12.80,-98.80,08/31/00Z,40,-,TROPICAL STORM
12.90,-99.60,08/31/06Z,40,-,TROPICAL STORM
13.30,-100.20,08/31/12Z,35,-,TROPICAL STORM
13.90,-100.90,08/31/18Z,50,-,TROPICAL STORM
14.30,-101.80,09/01/00Z,55,-,TROPICAL STORM
14.60,-103.00,09/01/06Z,65,-,HURRICANE-1
15.10,-104.60,09/01/12Z,65,-,HURRICANE-1
16.10,-105.80,09/01/18Z,75,-,HURRICANE-1
16.80,-106.90,09/02/00Z,95,-,HURRICANE-2
17.50,-108.20,09/02/06Z,115,-,HURRICANE-4
18.20,-109.60,09/02/12Z,115,-,HURRICANE-4
19.00,-111.00,09/02/18Z,115,-,HURRICANE-4
19.80,-112.40,09/03/00Z,120,-,HURRICANE-4
20.30,-113.90,09/03/06Z,115,-,HURRICANE-4
20.90,-115.40,09/03/12Z,115,-,HURRICANE-4
21.80,-116.60,09/03/18Z,110,-,HURRICANE-3
22.50,-117.90,09/04/00Z,75,-,HURRICANE-1
23.20,-119.20,09/04/06Z,70,-,HURRICANE-1
24.00,-120.30,09/04/12Z,65,-,HURRICANE-1
25.30,-120.70,09/04/18Z,50,-,TROPICAL STORM
26.60,-120.50,09/05/00Z,45,-,TROPICAL STORM
28.00,-120.40,09/05/06Z,40,-,TROPICAL STORM
29.40,-119.90,09/05/12Z,35,-,TROPICAL STORM
30.70,-119.10,09/05/18Z,30,-,TROPICAL DEPRESSION
32.50,-118.50,09/06/00Z,30,-,TROPICAL DEPRESSION
33.00,-118.30,09/06/06Z,25,-,XXX
33.50,-118.20,09/06/12Z,20,-,XXX
34.10,-118.10,09/06/18Z,20,-,XXX
34.50,-118.00,09/07/00Z,20,-,XXX
