LAT,LON,TIME,WIND,PR,STAT
10.00,-144.70,10/18/00Z,35,-,TROPICAL STORM
10.30,-144.70,10/18/06Z,35,-,TROPICAL STORM
10.60,-144.80,10/18/12Z,35,-,TROPICAL STORM
10.80,-144.80,10/18/18Z,35,-,TROPICAL STORM
11.00,-145.00,10/19/00Z,45,-,TROPICAL STORM
11.50,-145.20,10/19/06Z,50,-,TROPICAL STORM
11.70,-145.30,10/19/12Z,60,-,TROPICAL STORM
12.00,-145.60,10/19/18Z,60,-,TROPICAL STORM
12.30,-145.80,10/20/00Z,75,-,HURRICANE-1
12.70,-146.30,10/20/06Z,75,-,HURRICANE-1
13.00,-146.80,10/20/12Z,75,-,HURRICANE-1
13.30,-147.30,10/20/18Z,75,-,HURRICANE-1
13.50,-148.00,10/21/00Z,75,-,HURRICANE-1
13.80,-148.80,10/21/06Z,80,-,HURRICANE-1
14.00,-149.70,10/21/12Z,90,-,HURRICANE-2
14.40,-150.50,10/21/18Z,100,-,HURRICANE-3
14.90,-151.20,10/22/00Z,115,-,HURRICANE-4
15.40,-151.60,10/22/06Z,110,-,HURRICANE-3
15.80,-152.00,10/22/12Z,100,-,HURRICANE-3
16.30,-152.40,10/22/18Z,100,-,HURRICANE-3
16.40,-153.00,10/23/00Z,90,-,HURRICANE-2
15.70,-154.30,10/23/06Z,55,-,TROPICAL STORM
15.20,-155.50,10/23/12Z,30,-,TROPICAL DEPRESSION
14.80,-156.40,10/23/18Z,30,-,TROPICAL DEPRESSION
14.50,-157.50,10/24/00Z,25,-,TROPICAL DEPRESSION
