LAT,LON,TIME,WIND,PR,STAT
11.00,-103.90,07/31/00Z,30,-,TROPICAL DEPRESSION
11.00,-104.70,07/31/06Z,30,-,TROPICAL DEPRESSION
11.10,-105.30,07/31/12Z,40,-,TROPICAL STORM
11.20,-106.00,07/31/18Z,40,-,TROPICAL STORM
11.30,-106.80,08/01/00Z,50,-,TROPICAL STORM
11.50,-107.90,08/01/06Z,55,-,TROPICAL STORM
11.70,-109.00,08/01/12Z,60,-,TROPICAL STORM
11.90,-110.10,08/01/18Z,60,-,TROPICAL STORM
12.60,-111.10,08/02/00Z,70,-,HURRICANE-1
13.10,-112.20,08/02/06Z,75,-,HURRICANE-1
13.80,-113.20,08/02/12Z,75,-,HURRICANE-1
14.60,-114.00,08/02/18Z,75,-,HURRICANE-1
15.50,-114.80,08/03/00Z,80,-,HURRICANE-1
16.20,-115.20,08/03/06Z,80,-,HURRICANE-1
16.90,-115.90,08/03/12Z,80,-,HURRICANE-1
17.40,-116.40,08/03/18Z,70,-,HURRICANE-1
18.00,-116.60,08/04/00Z,85,-,HURRICANE-2
18.60,-116.70,08/04/06Z,90,-,HURRICANE-2
19.30,-117.20,08/04/12Z,80,-,HURRICANE-1
19.90,-117.70,08/04/18Z,80,-,HURRICANE-1
20.50,-118.10,08/05/00Z,80,-,HURRICANE-1
20.90,-118.50,08/05/06Z,70,-,HURRICANE-1
21.30,-118.90,08/05/12Z,65,-,HURRICANE-1
21.80,-119.20,08/05/18Z,65,-,HURRICANE-1
22.30,-119.70,08/06/00Z,60,-,TROPICAL STORM
23.00,-120.00,08/06/06Z,50,-,TROPICAL STORM
23.60,-120.30,08/06/12Z,45,-,TROPICAL STORM
24.30,-120.70,08/06/18Z,40,-,TROPICAL STORM
24.80,-120.90,08/07/00Z,35,-,TROPICAL STORM
25.30,-121.20,08/07/06Z,25,-,TROPICAL DEPRESSION
