LAT,LON,TIME,WIND,PR,STAT
17.50,-106.60,07/16/18Z,25,-,TROPICAL DEPRESSION
17.70,-107.40,07/17/00Z,25,-,TROPICAL DEPRESSION
17.90,-108.10,07/17/06Z,25,-,TROPICAL DEPRESSION
18.10,-108.80,07/17/12Z,25,-,TROPICAL DEPRESSION
18.10,-109.60,07/17/18Z,30,-,TROPICAL DEPRESSION
17.80,-110.30,07/18/00Z,30,-,TROPICAL DEPRESSION
17.60,-110.80,07/18/06Z,35,-,TROPICAL STORM
17.50,-111.30,07/18/12Z,35,-,TROPICAL STORM
17.50,-111.80,07/18/18Z,40,-,TROPICAL STORM
18.10,-112.70,07/19/00Z,45,-,TROPICAL STORM
18.70,-113.80,07/19/06Z,45,-,TROPICAL STORM
19.10,-114.80,07/19/12Z,45,-,TROPICAL STORM
19.60,-115.70,07/19/18Z,45,-,TROPICAL STORM
19.70,-116.80,07/20/00Z,35,-,TROPICAL STORM
19.90,-118.20,07/20/06Z,35,-,TROPICAL STORM
20.20,-119.70,07/20/12Z,30,-,TROPICAL DEPRESSION
20.60,-121.00,07/20/18Z,30,-,TROPICAL DEPRESSION
20.70,-122.50,07/21/00Z,30,-,TROPICAL DEPRESSION
21.00,-123.80,07/21/06Z,30,-,TROPICAL DEPRESSION
21.30,-125.20,07/21/12Z,25,-,TROPICAL DEPRESSION
21.40,-126.00,07/21/18Z,20,-,TROPICAL DEPRESSION
