LAT,LON,TIME,WIND,PR,STAT
16.20,-111.40,08/13/06Z,30,-,TROPICAL DEPRESSION
16.40,-111.70,08/13/12Z,30,-,TROPICAL DEPRESSION
16.50,-112.10,08/13/18Z,30,-,TROPICAL DEPRESSION
16.60,-112.60,08/14/00Z,30,-,TROPICAL DEPRESSION
16.80,-113.20,08/14/06Z,30,-,TROPICAL DEPRESSION
17.30,-113.70,08/14/12Z,30,-,TROPICAL DEPRESSION
17.70,-114.20,08/14/18Z,40,-,TROPICAL STORM
18.10,-115.30,08/15/00Z,40,-,TROPICAL STORM
18.40,-116.20,08/15/06Z,40,-,TROPICAL STORM
18.80,-117.00,08/15/12Z,50,-,TROPICAL STORM
19.30,-118.00,08/15/18Z,50,-,TROPICAL STORM
19.80,-119.50,08/16/00Z,50,-,TROPICAL STORM
20.00,-120.80,08/16/06Z,55,-,TROPICAL STORM
20.20,-122.00,08/16/12Z,55,-,TROPICAL STORM
20.20,-123.00,08/16/18Z,50,-,TROPICAL STORM
20.30,-124.30,08/17/00Z,45,-,TROPICAL STORM
20.30,-125.30,08/17/06Z,45,-,TROPICAL STORM
20.10,-126.50,08/17/12Z,45,-,TROPICAL STORM
19.60,-127.70,08/17/18Z,35,-,TROPICAL STORM
19.10,-129.10,08/18/00Z,35,-,TROPICAL STORM
18.80,-130.30,08/18/06Z,40,-,TROPICAL STORM
18.70,-131.50,08/18/12Z,40,-,TROPICAL STORM
18.50,-132.70,08/18/18Z,40,-,TROPICAL STORM
18.30,-133.70,08/19/00Z,45,-,TROPICAL STORM
18.10,-135.00,08/19/06Z,40,-,TROPICAL STORM
18.00,-136.20,08/19/12Z,40,-,TROPICAL STORM
17.90,-137.40,08/19/18Z,40,-,TROPICAL STORM
18.00,-138.00,08/20/00Z,50,-,TROPICAL STORM
18.00,-138.70,08/20/06Z,65,-,HURRICANE-1
18.20,-139.30,08/20/12Z,65,-,HURRICANE-1
18.50,-139.80,08/20/18Z,50,-,TROPICAL STORM
18.70,-140.20,08/21/00Z,45,-,TROPICAL STORM
18.90,-141.10,08/21/06Z,45,-,TROPICAL STORM
18.70,-142.90,08/21/12Z,35,-,TROPICAL STORM
18.60,-143.70,08/21/18Z,30,-,TROPICAL DEPRESSION
18.60,-143.70,08/22/00Z,30,-,TROPICAL DEPRESSION
18.30,-144.90,08/22/06Z,30,-,TROPICAL DEPRESSION
17.80,-146.00,08/22/12Z,30,-,TROPICAL DEPRESSION
17.30,-147.20,08/22/18Z,25,-,TROPICAL DEPRESSION
