LAT,LON,TIME,WIND,PR,STAT
16.50,-103.50,08/27/18Z,30,-,TROPICAL DEPRESSION
17.20,-103.90,08/28/00Z,30,-,TROPICAL DEPRESSION
17.70,-104.40,08/28/06Z,30,-,TROPICAL DEPRESSION
18.40,-104.90,08/28/12Z,30,-,TROPICAL DEPRESSION
19.10,-105.50,08/28/18Z,45,-,TROPICAL STORM
19.80,-106.10,08/29/00Z,45,-,TROPICAL STORM
20.50,-106.70,08/29/06Z,35,-,TROPICAL STORM
21.30,-107.20,08/29/12Z,35,-,TROPICAL STORM
22.00,-107.70,08/29/18Z,35,-,TROPICAL STORM
22.50,-108.50,08/30/00Z,30,-,TROPICAL DEPRESSION
23.10,-109.20,08/30/06Z,30,-,TROPICAL DEPRESSION
23.50,-110.10,08/30/12Z,30,-,TROPICAL DEPRESSION
23.90,-110.00,08/30/18Z,30,-,TROPICAL DEPRESSION
24.00,-112.00,08/31/00Z,30,-,TROPICAL DEPRESSION
24.20,-113.00,08/31/06Z,20,-,TROPICAL DEPRESSION
