LAT,LON,TIME,WIND,PR,STAT
14.70,-158.00,09/15/18Z,30,-,TROPICAL DEPRESSION
15.10,-158.30,09/16/00Z,35,-,TROPICAL STORM
15.40,-158.40,09/16/06Z,35,-,TROPICAL STORM
15.70,-158.70,09/16/12Z,40,-,TROPICAL STORM
16.10,-159.00,09/16/18Z,35,-,TROPICAL STORM
15.80,-159.40,09/17/00Z,35,-,TROPICAL STORM
15.50,-159.60,09/17/06Z,35,-,TROPICAL STORM
15.30,-159.80,09/17/12Z,35,-,TROPICAL STORM
14.90,-160.00,09/17/18Z,35,-,TROPICAL STORM
14.90,-160.00,09/18/00Z,35,-,TROPICAL STORM
14.90,-160.00,09/18/06Z,30,-,TROPICAL DEPRESSION
14.90,-160.00,09/18/12Z,30,-,TROPICAL DEPRESSION
14.00,-160.70,09/18/18Z,30,-,TROPICAL DEPRESSION
13.40,-161.50,09/19/00Z,30,-,TROPICAL DEPRESSION
