LAT,LON,TIME,WIND,PR,STAT
11.30,-101.70,09/18/18Z,30,-,TROPICAL DEPRESSION
11.80,-101.90,09/19/00Z,30,-,TROPICAL DEPRESSION
12.20,-102.10,09/19/06Z,35,-,TROPICAL STORM
12.60,-102.40,09/19/12Z,40,-,TROPICAL STORM
13.20,-103.00,09/19/18Z,50,-,TROPICAL STORM
13.50,-103.50,09/20/00Z,60,-,TROPICAL STORM
14.00,-104.00,09/20/06Z,65,-,HURRICANE-1
14.50,-104.70,09/20/12Z,65,-,HURRICANE-1
15.00,-105.50,09/20/18Z,80,-,HURRICANE-1
15.40,-106.50,09/21/00Z,95,-,HURRICANE-2
16.00,-107.60,09/21/06Z,100,-,HURRICANE-3
16.50,-108.70,09/21/12Z,115,-,HURRICANE-4
17.10,-110.00,09/21/18Z,125,-,HURRICANE-4
17.80,-111.10,09/22/00Z,125,-,HURRICANE-4
18.50,-112.40,09/22/06Z,125,-,HURRICANE-4
19.30,-114.00,09/22/12Z,115,-,HURRICANE-4
20.00,-115.90,09/22/18Z,110,-,HURRICANE-3
20.50,-117.80,09/23/00Z,100,-,HURRICANE-3
21.10,-119.10,09/23/06Z,75,-,HURRICANE-1
21.70,-120.30,09/23/12Z,70,-,HURRICANE-1
22.30,-121.00,09/23/18Z,60,-,TROPICAL STORM
23.40,-122.00,09/24/00Z,50,-,TROPICAL STORM
24.70,-122.60,09/24/06Z,45,-,TROPICAL STORM
26.00,-123.00,09/24/12Z,40,-,TROPICAL STORM
27.30,-122.90,09/24/18Z,30,-,TROPICAL DEPRESSION
28.40,-122.60,09/25/00Z,25,-,TROPICAL DEPRESSION
29.30,-122.30,09/25/06Z,25,-,TROPICAL DEPRESSION
30.00,-122.00,09/25/12Z,25,-,TROPICAL DEPRESSION
31.00,-121.40,09/25/18Z,25,-,TROPICAL DEPRESSION
