LAT,LON,TIME,WIND,PR,STAT
12.50,-95.10,09/30/18Z,30,-,TROPICAL DEPRESSION
12.60,-95.60,10/01/00Z,35,-,TROPICAL STORM
12.70,-96.00,10/01/06Z,35,-,TROPICAL STORM
12.80,-96.50,10/01/12Z,40,-,TROPICAL STORM
12.90,-96.90,10/01/18Z,40,-,TROPICAL STORM
13.10,-97.30,10/02/00Z,40,-,TROPICAL STORM
13.30,-97.80,10/02/06Z,40,-,TROPICAL STORM
13.50,-98.30,10/02/12Z,40,-,TROPICAL STORM
13.70,-98.70,10/02/18Z,45,-,TROPICAL STORM
14.00,-99.00,10/03/00Z,45,-,TROPICAL STORM
14.30,-99.40,10/03/06Z,40,-,TROPICAL STORM
14.50,-99.60,10/03/12Z,35,-,TROPICAL STORM
14.80,-99.90,10/03/18Z,30,-,TROPICAL DEPRESSION
15.10,-100.30,10/04/00Z,30,-,TROPICAL DEPRESSION
15.40,-100.70,10/04/06Z,30,-,TROPICAL DEPRESSION
15.80,-101.20,10/04/12Z,25,-,TROPICAL DEPRESSION
16.20,-101.60,10/04/18Z,25,-,TROPICAL DEPRESSION
16.50,-102.10,10/05/00Z,25,-,TROPICAL DEPRESSION
16.90,-102.70,10/05/06Z,25,-,TROPICAL DEPRESSION
17.30,-103.20,10/05/12Z,25,-,TROPICAL DEPRESSION
17.60,-103.70,10/05/18Z,25,-,TROPICAL DEPRESSION
17.90,-104.10,10/06/00Z,25,-,TROPICAL DEPRESSION
18.10,-104.50,10/06/06Z,25,-,TROPICAL DEPRESSION
18.30,-104.90,10/06/12Z,25,-,TROPICAL DEPRESSION
18.60,-105.30,10/06/18Z,25,-,TROPICAL DEPRESSION
