LAT,LON,TIME,WIND,PR,STAT
9.40,-103.30,10/19/18Z,25,-,TROPICAL DEPRESSION
9.30,-105.00,10/20/00Z,30,-,TROPICAL DEPRESSION
9.10,-106.10,10/20/06Z,30,-,TROPICAL DEPRESSION
9.20,-107.40,10/20/12Z,30,-,TROPICAL DEPRESSION
9.30,-108.60,10/20/18Z,30,-,TROPICAL DEPRESSION
9.50,-109.70,10/21/00Z,30,-,TROPICAL DEPRESSION
10.30,-111.00,10/21/06Z,30,-,TROPICAL DEPRESSION
11.20,-112.20,10/21/12Z,30,-,TROPICAL DEPRESSION
12.40,-113.50,10/21/18Z,30,-,TROPICAL DEPRESSION
13.30,-114.90,10/22/00Z,30,-,TROPICAL DEPRESSION
13.80,-116.10,10/22/06Z,30,-,TROPICAL DEPRESSION
14.20,-117.10,10/22/12Z,35,-,TROPICAL STORM
14.70,-118.20,10/22/18Z,45,-,TROPICAL STORM
15.00,-119.70,10/23/00Z,45,-,TROPICAL STORM
15.10,-121.00,10/23/06Z,40,-,TROPICAL STORM
15.20,-122.50,10/23/12Z,35,-,TROPICAL STORM
15.30,-123.30,10/23/18Z,40,-,TROPICAL STORM
15.50,-124.10,10/24/00Z,40,-,TROPICAL STORM
15.90,-124.90,10/24/06Z,40,-,TROPICAL STORM
16.70,-125.90,10/24/12Z,45,-,TROPICAL STORM
17.30,-126.70,10/24/18Z,45,-,TROPICAL STORM
17.90,-127.20,10/25/00Z,45,-,TROPICAL STORM
18.40,-127.90,10/25/06Z,45,-,TROPICAL STORM
19.00,-128.50,10/25/12Z,35,-,TROPICAL STORM
19.70,-129.30,10/25/18Z,30,-,TROPICAL DEPRESSION
20.30,-129.80,10/26/00Z,25,-,TROPICAL DEPRESSION
21.00,-130.30,10/26/06Z,25,-,TROPICAL DEPRESSION
