LAT,LON,TIME,WIND,PR,STAT
9.00,-99.80,05/17/18Z,30,-,TROPICAL DEPRESSION
9.00,-101.30,05/18/00Z,30,-,TROPICAL DEPRESSION
9.10,-102.80,05/18/06Z,30,-,TROPICAL DEPRESSION
9.20,-104.30,05/18/12Z,30,-,TROPICAL DEPRESSION
9.30,-105.80,05/18/18Z,40,-,TROPICAL STORM
9.50,-107.40,05/19/00Z,45,-,TROPICAL STORM
9.50,-109.00,05/19/06Z,45,-,TROPICAL STORM
9.50,-110.50,05/19/12Z,50,-,TROPICAL STORM
9.50,-112.00,05/19/18Z,50,-,TROPICAL STORM
9.50,-113.60,05/20/00Z,45,-,TROPICAL STORM
9.50,-115.10,05/20/06Z,50,-,TROPICAL STORM
9.50,-116.40,05/20/12Z,50,-,TROPICAL STORM
9.50,-117.60,05/20/18Z,45,-,TROPICAL STORM
9.50,-118.70,05/21/00Z,40,-,TROPICAL STORM
9.50,-119.60,05/21/06Z,40,-,TROPICAL STORM
9.50,-120.50,05/21/12Z,40,-,TROPICAL STORM
9.60,-121.30,05/21/18Z,30,-,TROPICAL DEPRESSION
