LAT,LON,TIME,WIND,PR,STAT
10.30,-106.50,06/25/00Z,25,-,TROPICAL DEPRESSION
10.30,-107.40,06/25/06Z,25,-,TROPICAL DEPRESSION
10.40,-108.30,06/25/12Z,25,-,TROPICAL DEPRESSION
10.40,-109.30,06/25/18Z,35,-,TROPICAL STORM
10.50,-110.40,06/26/00Z,35,-,TROPICAL STORM
10.60,-111.50,06/26/06Z,40,-,TROPICAL STORM
10.90,-112.50,06/26/12Z,45,-,TROPICAL STORM
11.30,-113.50,06/26/18Z,45,-,TROPICAL STORM
11.90,-114.30,06/27/00Z,50,-,TROPICAL STORM
12.40,-115.30,06/27/06Z,55,-,TROPICAL STORM
12.60,-116.10,06/27/12Z,60,-,TROPICAL STORM
12.70,-117.00,06/27/18Z,65,-,HURRICANE-1
12.80,-117.90,06/28/00Z,75,-,HURRICANE-1
13.00,-118.90,06/28/06Z,90,-,HURRICANE-2
13.20,-119.80,06/28/12Z,115,-,HURRICANE-4
13.40,-120.70,06/28/18Z,120,-,HURRICANE-4
13.80,-121.80,06/29/00Z,125,-,HURRICANE-4
14.00,-122.80,06/29/06Z,120,-,HURRICANE-4
14.30,-123.90,06/29/12Z,115,-,HURRICANE-4
14.60,-125.00,06/29/18Z,115,-,HURRICANE-4
14.90,-126.10,06/30/00Z,115,-,HURRICANE-4
15.10,-127.20,06/30/06Z,115,-,HURRICANE-4
15.30,-128.10,06/30/12Z,105,-,HURRICANE-3
15.60,-128.80,06/30/18Z,100,-,HURRICANE-3
15.90,-129.60,07/01/00Z,95,-,HURRICANE-2
16.30,-130.20,07/01/06Z,95,-,HURRICANE-2
16.70,-130.80,07/01/12Z,90,-,HURRICANE-2
17.10,-131.50,07/01/18Z,75,-,HURRICANE-1
17.40,-132.20,07/02/00Z,65,-,HURRICANE-1
17.70,-133.30,07/02/06Z,65,-,HURRICANE-1
17.70,-134.40,07/02/12Z,55,-,TROPICAL STORM
17.80,-135.40,07/02/18Z,45,-,TROPICAL STORM
17.80,-136.50,07/03/00Z,35,-,TROPICAL STORM
17.80,-137.60,07/03/06Z,30,-,TROPICAL DEPRESSION
17.90,-138.80,07/03/12Z,30,-,TROPICAL DEPRESSION
18.10,-140.00,07/03/18Z,30,-,TROPICAL DEPRESSION
18.30,-141.30,07/04/00Z,30,-,TROPICAL DEPRESSION
18.50,-142.40,07/04/06Z,25,-,TROPICAL DEPRESSION
18.90,-143.50,07/04/12Z,25,-,TROPICAL DEPRESSION
19.20,-144.70,07/04/18Z,25,-,TROPICAL DEPRESSION
19.60,-145.90,07/05/00Z,25,-,TROPICAL DEPRESSION
19.80,-146.50,07/05/06Z,25,-,TROPICAL DEPRESSION
20.00,-147.00,07/05/12Z,25,-,TROPICAL DEPRESSION
20.20,-147.50,07/05/18Z,25,-,TROPICAL DEPRESSION
20.40,-148.00,07/06/00Z,25,-,TROPICAL DEPRESSION
20.50,-148.30,07/06/06Z,25,-,TROPICAL DEPRESSION
20.60,-148.50,07/06/12Z,25,-,TROPICAL DEPRESSION
20.70,-148.70,07/06/18Z,25,-,TROPICAL DEPRESSION
