LAT,LON,TIME,WIND,PR,STAT
9.70,-159.50,10/23/18Z,30,-,TROPICAL DEPRESSION
10.20,-160.20,10/24/00Z,40,-,TROPICAL STORM
10.80,-160.90,10/24/06Z,40,-,TROPICAL STORM
11.30,-161.60,10/24/12Z,50,-,TROPICAL STORM
11.90,-162.30,10/24/18Z,50,-,TROPICAL STORM
12.50,-163.00,10/25/00Z,60,-,TROPICAL STORM
12.90,-163.40,10/25/06Z,60,-,TROPICAL STORM
13.30,-163.60,10/25/12Z,65,-,HURRICANE-1
13.80,-163.90,10/25/18Z,75,-,HURRICANE-1
14.20,-164.20,10/26/00Z,80,-,HURRICANE-1
14.90,-164.20,10/26/06Z,80,-,HURRICANE-1
15.80,-164.20,10/26/12Z,80,-,HURRICANE-1
16.60,-164.30,10/26/18Z,75,-,HURRICANE-1
17.50,-164.30,10/27/00Z,75,-,HURRICANE-1
18.30,-164.50,10/27/06Z,75,-,HURRICANE-1
19.10,-165.00,10/27/12Z,70,-,HURRICANE-1
19.90,-165.60,10/27/18Z,70,-,HURRICANE-1
20.70,-166.30,10/28/00Z,70,-,HURRICANE-1
21.50,-166.80,10/28/06Z,70,-,HURRICANE-1
22.50,-167.30,10/28/12Z,70,-,HURRICANE-1
23.40,-167.70,10/28/18Z,70,-,HURRICANE-1
24.20,-168.30,10/29/00Z,70,-,HURRICANE-1
25.30,-168.90,10/29/06Z,70,-,HURRICANE-1
26.70,-169.30,10/29/12Z,70,-,HURRICANE-1
28.40,-169.60,10/29/18Z,70,-,HURRICANE-1
30.00,-169.70,10/30/00Z,70,-,HURRICANE-1
31.80,-169.80,10/30/06Z,60,-,TROPICAL STORM
