LAT,LON,TIME,WIND,PR,STAT
13.50,-104.50,07/03/18Z,25,-,TROPICAL DEPRESSION
14.00,-105.70,07/04/00Z,30,-,TROPICAL DEPRESSION
14.50,-106.60,07/04/06Z,30,-,TROPICAL DEPRESSION
15.10,-107.50,07/04/12Z,30,-,TROPICAL DEPRESSION
15.50,-108.40,07/04/18Z,30,-,TROPICAL DEPRESSION
16.00,-109.30,07/05/00Z,30,-,TROPICAL DEPRESSION
16.70,-110.00,07/05/06Z,30,-,TROPICAL DEPRESSION
17.40,-110.80,07/05/12Z,30,-,TROPICAL DEPRESSION
18.10,-111.50,07/05/18Z,35,-,TROPICAL STORM
18.70,-112.30,07/06/00Z,35,-,TROPICAL STORM
19.00,-113.20,07/06/06Z,35,-,TROPICAL STORM
19.10,-114.20,07/06/12Z,30,-,TROPICAL DEPRESSION
19.20,-115.20,07/06/18Z,25,-,TROPICAL DEPRESSION
19.20,-116.00,07/07/00Z,25,-,TROPICAL DEPRESSION
19.30,-116.80,07/07/06Z,25,-,TROPICAL DEPRESSION
19.40,-117.60,07/07/12Z,25,-,TROPICAL DEPRESSION
19.50,-118.20,07/07/18Z,25,-,TROPICAL DEPRESSION
