LAT,LON,TIME,WIND,PR,STAT
15.40,-114.00,08/19/18Z,25,-,TROPICAL DEPRESSION
15.50,-115.00,08/20/00Z,25,-,TROPICAL DEPRESSION
15.80,-116.00,08/20/06Z,30,-,TROPICAL DEPRESSION
16.00,-117.50,08/20/12Z,35,-,TROPICAL STORM
16.40,-118.80,08/20/18Z,35,-,TROPICAL STORM
16.70,-120.20,08/21/00Z,45,-,TROPICAL STORM
17.10,-121.60,08/21/06Z,45,-,TROPICAL STORM
17.70,-122.90,08/21/12Z,45,-,TROPICAL STORM
18.40,-124.10,08/21/18Z,45,-,TROPICAL STORM
19.00,-125.20,08/22/00Z,40,-,TROPICAL STORM
19.70,-126.40,08/22/06Z,45,-,TROPICAL STORM
20.40,-127.60,08/22/12Z,45,-,TROPICAL STORM
21.00,-128.90,08/22/18Z,45,-,TROPICAL STORM
21.60,-130.20,08/23/00Z,40,-,TROPICAL STORM
22.00,-131.60,08/23/06Z,35,-,TROPICAL STORM
22.00,-133.00,08/23/12Z,30,-,TROPICAL DEPRESSION
21.60,-134.10,08/23/18Z,25,-,TROPICAL DEPRESSION
21.10,-135.10,08/24/00Z,25,-,TROPICAL DEPRESSION
