LAT,LON,TIME,WIND,PR,STAT
11.50,-93.00,09/28/00Z,25,-,TROPICAL DEPRESSION
11.50,-94.60,09/28/06Z,25,-,TROPICAL DEPRESSION
11.60,-96.20,09/28/12Z,25,-,TROPICAL DEPRESSION
11.80,-97.90,09/28/18Z,25,-,TROPICAL DEPRESSION
12.40,-99.40,09/29/00Z,30,-,TROPICAL DEPRESSION
13.00,-100.70,09/29/06Z,30,-,TROPICAL DEPRESSION
13.70,-102.00,09/29/12Z,30,-,TROPICAL DEPRESSION
14.50,-103.30,09/29/18Z,30,-,TROPICAL DEPRESSION
15.40,-104.50,09/30/00Z,35,-,TROPICAL STORM
16.30,-105.60,09/30/06Z,35,-,TROPICAL STORM
17.20,-106.60,09/30/12Z,35,-,TROPICAL STORM
18.00,-107.30,09/30/18Z,40,-,TROPICAL STORM
18.90,-108.00,10/01/00Z,70,-,HURRICANE-1
19.70,-108.70,10/01/06Z,70,-,HURRICANE-1
20.50,-109.10,10/01/12Z,75,-,HURRICANE-1
21.50,-109.20,10/01/18Z,80,-,HURRICANE-1
22.50,-109.10,10/02/00Z,85,-,HURRICANE-2
23.70,-108.90,10/02/06Z,80,-,HURRICANE-1
25.10,-108.60,10/02/12Z,80,-,HURRICANE-1
27.20,-107.30,10/02/18Z,25,-,TROPICAL DEPRESSION
