LAT,LON,TIME,WIND,PR,STAT
15.30,-102.50,07/15/00Z,25,-,TROPICAL DEPRESSION
15.50,-103.80,07/15/06Z,30,-,TROPICAL DEPRESSION
15.80,-105.00,07/15/12Z,35,-,TROPICAL STORM
16.20,-106.30,07/15/18Z,35,-,TROPICAL STORM
16.50,-107.50,07/16/00Z,35,-,TROPICAL STORM
16.80,-108.50,07/16/06Z,35,-,TROPICAL STORM
16.90,-109.30,07/16/12Z,35,-,TROPICAL STORM
17.00,-110.20,07/16/18Z,35,-,TROPICAL STORM
17.20,-111.00,07/17/00Z,40,-,TROPICAL STORM
17.50,-111.80,07/17/06Z,40,-,TROPICAL STORM
17.90,-112.40,07/17/12Z,50,-,TROPICAL STORM
18.40,-113.00,07/17/18Z,50,-,TROPICAL STORM
18.80,-113.60,07/18/00Z,45,-,TROPICAL STORM
19.20,-114.00,07/18/06Z,45,-,TROPICAL STORM
19.80,-114.60,07/18/12Z,40,-,TROPICAL STORM
20.20,-115.10,07/18/18Z,35,-,TROPICAL STORM
20.70,-115.60,07/19/00Z,35,-,TROPICAL STORM
21.20,-116.00,07/19/06Z,30,-,TROPICAL DEPRESSION
21.70,-116.20,07/19/12Z,30,-,TROPICAL DEPRESSION
22.30,-116.40,07/19/18Z,25,-,TROPICAL DEPRESSION
21.70,-116.60,07/20/00Z,25,-,TROPICAL DEPRESSION
