LAT,LON,TIME,WIND,PR,STAT
15.40,-107.40,09/14/12Z,25,-,TROPICAL DEPRESSION
16.20,-108.20,09/14/18Z,25,-,TROPICAL DEPRESSION
16.80,-109.00,09/15/00Z,30,-,TROPICAL DEPRESSION
17.40,-109.70,09/15/06Z,30,-,TROPICAL DEPRESSION
17.80,-110.30,09/15/12Z,30,-,TROPICAL DEPRESSION
18.20,-111.00,09/15/18Z,35,-,TROPICAL STORM
18.40,-111.60,09/16/00Z,35,-,TROPICAL STORM
18.70,-112.00,09/16/06Z,35,-,TROPICAL STORM
18.90,-112.40,09/16/12Z,35,-,TROPICAL STORM
19.00,-112.90,09/16/18Z,35,-,TROPICAL STORM
19.30,-113.20,09/17/00Z,35,-,TROPICAL STORM
19.70,-113.30,09/17/06Z,40,-,TROPICAL STORM
19.90,-113.40,09/17/12Z,65,-,HURRICANE-1
20.20,-113.50,09/17/18Z,65,-,HURRICANE-1
20.50,-113.50,09/18/00Z,60,-,TROPICAL STORM
20.90,-113.50,09/18/06Z,55,-,TROPICAL STORM
21.40,-113.30,09/18/12Z,45,-,TROPICAL STORM
21.90,-113.20,09/18/18Z,50,-,TROPICAL STORM
22.50,-113.00,09/19/00Z,50,-,TROPICAL STORM
23.20,-113.00,09/19/06Z,45,-,TROPICAL STORM
23.50,-113.00,09/19/12Z,45,-,TROPICAL STORM
23.80,-112.80,09/19/18Z,30,-,TROPICAL DEPRESSION
24.00,-112.70,09/20/00Z,30,-,TROPICAL DEPRESSION
24.10,-112.40,09/20/06Z,25,-,TROPICAL DEPRESSION
24.20,-112.00,09/20/12Z,25,-,TROPICAL DEPRESSION
