LAT,LON,TIME,WIND,PR,STAT
12.20,-104.20,10/05/18Z,35,-,TROPICAL STORM
12.30,-104.90,10/06/00Z,35,-,TROPICAL STORM
12.50,-105.80,10/06/06Z,35,-,TROPICAL STORM
12.70,-106.70,10/06/12Z,35,-,TROPICAL STORM
12.90,-107.60,10/06/18Z,35,-,TROPICAL STORM
13.10,-108.50,10/07/00Z,45,-,TROPICAL STORM
13.40,-109.20,10/07/06Z,55,-,TROPICAL STORM
13.70,-109.80,10/07/12Z,65,-,HURRICANE-1
14.10,-110.60,10/07/18Z,75,-,HURRICANE-1
14.30,-111.30,10/08/00Z,80,-,HURRICANE-1
14.60,-111.80,10/08/06Z,80,-,HURRICANE-1
14.70,-112.50,10/08/12Z,95,-,HURRICANE-2
14.80,-113.10,10/08/18Z,100,-,HURRICANE-3
15.00,-113.80,10/09/00Z,110,-,HURRICANE-3
15.10,-114.40,10/09/06Z,120,-,HURRICANE-4
15.30,-115.10,10/09/12Z,120,-,HURRICANE-4
15.50,-115.80,10/09/18Z,120,-,HURRICANE-4
16.00,-116.50,10/10/00Z,120,-,HURRICANE-4
16.40,-117.40,10/10/06Z,115,-,HURRICANE-4
17.10,-118.10,10/10/12Z,115,-,HURRICANE-4
17.80,-118.90,10/10/18Z,110,-,HURRICANE-3
18.60,-119.20,10/11/00Z,100,-,HURRICANE-3
19.50,-119.80,10/11/06Z,80,-,HURRICANE-1
20.30,-120.10,10/11/12Z,75,-,HURRICANE-1
21.30,-120.80,10/11/18Z,45,-,TROPICAL STORM
21.90,-121.40,10/12/00Z,25,-,TROPICAL DEPRESSION
22.00,-122.10,10/12/06Z,20,-,TROPICAL DEPRESSION
