LAT,LON,TIME,WIND,PR,STAT
13.30,-104.10,07/08/18Z,30,1010,TROPICAL DEPRESSION
13.40,-104.70,07/09/00Z,30,1009,TROPICAL DEPRESSION
13.70,-105.80,07/09/06Z,30,1007,TROPICAL DEPRESSION
13.90,-107.00,07/09/12Z,35,1005,TROPICAL STORM
14.20,-108.10,07/09/18Z,40,1002,TROPICAL STORM
14.60,-109.20,07/10/00Z,45,1000,TROPICAL STORM
15.00,-110.30,07/10/06Z,50,997,TROPICAL STORM
15.50,-111.40,07/10/12Z,55,995,TROPICAL STORM
16.00,-112.50,07/10/18Z,55,994,TROPICAL STORM
16.60,-113.50,07/11/00Z,60,994,TROPICAL STORM
17.30,-114.50,07/11/06Z,65,994,HURRICANE-1
17.90,-115.40,07/11/12Z,65,994,HURRICANE-1
18.60,-116.50,07/11/18Z,65,994,HURRICANE-1
19.10,-117.40,07/12/00Z,65,994,HURRICANE-1
19.80,-118.50,07/12/06Z,60,995,TROPICAL STORM
20.40,-119.50,07/12/12Z,50,996,TROPICAL STORM
20.90,-120.30,07/12/18Z,45,1000,TROPICAL STORM
21.10,-121.10,07/13/00Z,35,1005,TROPICAL STORM
21.40,-122.00,07/13/06Z,30,1009,TROPICAL DEPRESSION
21.60,-122.90,07/13/12Z,30,1010,TROPICAL DEPRESSION
21.70,-123.70,07/13/18Z,30,1010,TROPICAL DEPRESSION
21.50,-124.40,07/14/00Z,25,1011,TROPICAL DEPRESSION
21.30,-125.00,07/14/06Z,25,1011,TROPICAL DEPRESSION
21.20,-125.70,07/14/12Z,25,1011,TROPICAL DEPRESSION
21.10,-126.30,07/14/18Z,25,1011,TROPICAL DEPRESSION
21.00,-127.00,07/15/00Z,25,1011,TROPICAL DEPRESSION
21.00,-127.60,07/15/06Z,25,1011,TROPICAL DEPRESSION
21.00,-128.20,07/15/12Z,20,1012,TROPICAL DEPRESSION
