LAT,LON,TIME,WIND,PR,STAT
12.00,-121.00,07/28/18Z,25,1011,TROPICAL DEPRESSION
12.00,-122.00,07/29/00Z,25,1009,TROPICAL DEPRESSION
12.00,-123.00,07/29/06Z,30,1008,TROPICAL DEPRESSION
12.00,-124.00,07/29/12Z,30,1006,TROPICAL DEPRESSION
12.00,-125.00,07/29/18Z,40,1003,TROPICAL STORM
11.90,-126.00,07/30/00Z,50,999,TROPICAL STORM
11.90,-126.90,07/30/06Z,55,994,TROPICAL STORM
11.90,-127.70,07/30/12Z,55,991,TROPICAL STORM
11.90,-128.60,07/30/18Z,60,988,TROPICAL STORM
12.00,-129.60,07/31/00Z,60,986,TROPICAL STORM
12.10,-130.60,07/31/06Z,60,984,TROPICAL STORM
12.20,-131.40,07/31/12Z,65,982,HURRICANE-1
12.40,-132.30,07/31/18Z,65,981,HURRICANE-1
12.50,-133.30,08/01/00Z,70,980,HURRICANE-1
12.70,-134.30,08/01/06Z,70,978,HURRICANE-1
12.80,-135.30,08/01/12Z,75,976,HURRICANE-1
12.90,-136.40,08/01/18Z,75,974,HURRICANE-1
13.00,-137.50,08/02/00Z,80,972,HURRICANE-1
13.00,-138.50,08/02/06Z,85,970,HURRICANE-2
13.20,-139.60,08/02/12Z,90,966,HURRICANE-2
13.40,-140.70,08/02/18Z,95,960,HURRICANE-2
13.70,-141.70,08/03/00Z,105,950,HURRICANE-3
14.20,-142.70,08/03/06Z,115,944,HURRICANE-4
14.70,-143.80,08/03/12Z,120,943,HURRICANE-4
15.20,-145.00,08/03/18Z,110,959,HURRICANE-3
15.70,-146.20,08/04/00Z,100,977,HURRICANE-3
16.00,-147.20,08/04/06Z,90,981,HURRICANE-2
16.20,-148.30,08/04/12Z,75,985,HURRICANE-1
16.20,-149.50,08/04/18Z,65,993,HURRICANE-1
15.90,-150.60,08/05/00Z,50,999,TROPICAL STORM
15.70,-151.70,08/05/06Z,45,1002,TROPICAL STORM
15.60,-152.60,08/05/12Z,40,1003,TROPICAL STORM
15.40,-153.40,08/05/18Z,35,1005,TROPICAL STORM
15.50,-154.20,08/06/00Z,30,1006,TROPICAL DEPRESSION
15.50,-155.00,08/06/06Z,30,1007,TROPICAL DEPRESSION
15.50,-155.70,08/06/12Z,30,1008,TROPICAL DEPRESSION
15.50,-156.50,08/06/18Z,30,1008,TROPICAL DEPRESSION
15.50,-157.20,08/07/00Z,30,1008,TROPICAL DEPRESSION
15.50,-158.00,08/07/06Z,30,1009,TROPICAL DEPRESSION
15.60,-158.60,08/07/12Z,30,1009,TROPICAL DEPRESSION
15.80,-159.30,08/07/18Z,30,1009,TROPICAL DEPRESSION
16.10,-159.90,08/08/00Z,30,1010,TROPICAL DEPRESSION
16.30,-160.50,08/08/06Z,30,1010,TROPICAL DEPRESSION
16.60,-161.10,08/08/12Z,30,1010,TROPICAL DEPRESSION
16.80,-161.60,08/08/18Z,25,1011,TROPICAL DEPRESSION
17.00,-162.20,08/09/00Z,25,1011,TROPICAL DEPRESSION
17.30,-162.80,08/09/06Z,25,1012,TROPICAL DEPRESSION
17.60,-163.40,08/09/12Z,25,1012,TROPICAL DEPRESSION
18.00,-164.00,08/09/18Z,20,1012,TROPICAL DEPRESSION
