LAT,LON,TIME,WIND,PR,STAT
13.20,-96.40,08/05/00Z,25,1012,TROPICAL DEPRESSION
13.50,-98.10,08/05/06Z,25,1011,TROPICAL DEPRESSION
13.80,-99.70,08/05/12Z,25,1010,TROPICAL DEPRESSION
14.30,-101.20,08/05/18Z,30,1009,TROPICAL DEPRESSION
14.50,-102.60,08/06/00Z,35,1005,TROPICAL STORM
14.90,-103.90,08/06/06Z,45,1000,TROPICAL STORM
15.20,-105.30,08/06/12Z,45,1000,TROPICAL STORM
15.70,-106.50,08/06/18Z,55,994,TROPICAL STORM
16.20,-107.40,08/07/00Z,65,987,HURRICANE-1
16.70,-108.30,08/07/06Z,65,987,HURRICANE-1
17.10,-109.10,08/07/12Z,67,979,HURRICANE-1
17.60,-110.00,08/07/18Z,84,975,HURRICANE-2
18.00,-110.50,08/08/00Z,90,970,HURRICANE-2
18.30,-111.20,08/08/06Z,90,970,HURRICANE-2
19.20,-112.20,08/08/12Z,90,968,HURRICANE-2
20.00,-113.20,08/08/18Z,90,970,HURRICANE-2
20.40,-114.00,08/09/00Z,84,975,HURRICANE-2
20.60,-115.00,08/09/06Z,84,975,HURRICANE-2
20.70,-115.80,08/09/12Z,77,979,HURRICANE-1
20.60,-116.70,08/09/18Z,65,987,HURRICANE-1
20.50,-117.30,08/10/00Z,55,994,TROPICAL STORM
20.40,-117.50,08/10/06Z,55,994,TROPICAL STORM
20.30,-117.70,08/10/12Z,45,1000,TROPICAL STORM
20.20,-117.90,08/10/18Z,40,1002,TROPICAL STORM
20.00,-118.30,08/11/00Z,35,1005,TROPICAL STORM
19.90,-118.70,08/11/06Z,35,1005,TROPICAL STORM
19.70,-119.10,08/11/12Z,35,1006,TROPICAL STORM
19.50,-119.50,08/11/18Z,30,1009,TROPICAL DEPRESSION
19.20,-120.00,08/12/00Z,30,1009,TROPICAL DEPRESSION
19.00,-120.40,08/12/06Z,25,1010,TROPICAL DEPRESSION
18.90,-120.70,08/12/12Z,25,1010,TROPICAL DEPRESSION
18.60,-121.20,08/12/18Z,20,1011,TROPICAL DEPRESSION
18.40,-121.60,08/13/00Z,20,1012,TROPICAL DEPRESSION
18.10,-122.10,08/13/06Z,20,1012,TROPICAL DEPRESSION
17.80,-122.70,08/13/12Z,20,1013,TROPICAL DEPRESSION
17.50,-123.30,08/13/18Z,20,1013,TROPICAL DEPRESSION
