LAT,LON,TIME,WIND,PR,STAT
13.80,-100.60,07/30/00Z,25,1010,TROPICAL DEPRESSION
14.10,-101.70,07/30/06Z,25,1010,TROPICAL DEPRESSION
14.90,-102.90,07/30/12Z,25,1010,TROPICAL DEPRESSION
15.80,-104.20,07/30/18Z,30,1009,TROPICAL DEPRESSION
16.50,-105.50,07/31/00Z,40,1007,TROPICAL STORM
17.10,-106.40,07/31/06Z,50,1002,TROPICAL STORM
17.70,-107.10,07/31/12Z,60,992,TROPICAL STORM
18.20,-107.70,07/31/18Z,70,985,HURRICANE-1
18.70,-108.40,08/01/00Z,75,981,HURRICANE-1
18.90,-109.00,08/01/06Z,75,979,HURRICANE-1
19.20,-109.60,08/01/12Z,75,979,HURRICANE-1
19.60,-110.00,08/01/18Z,70,980,HURRICANE-1
20.00,-110.40,08/02/00Z,65,984,HURRICANE-1
20.40,-110.80,08/02/06Z,60,988,TROPICAL STORM
21.00,-111.30,08/02/12Z,55,993,TROPICAL STORM
21.50,-112.00,08/02/18Z,50,998,TROPICAL STORM
22.00,-112.80,08/03/00Z,45,1002,TROPICAL STORM
22.40,-113.60,08/03/06Z,40,1005,TROPICAL STORM
22.80,-114.20,08/03/12Z,35,1008,TROPICAL STORM
23.20,-114.90,08/03/18Z,30,1010,TROPICAL DEPRESSION
23.60,-115.70,08/04/00Z,25,1010,TROPICAL DEPRESSION
24.10,-116.50,08/04/06Z,25,1010,TROPICAL DEPRESSION
24.60,-117.20,08/04/12Z,25,1010,TROPICAL DEPRESSION
25.00,-117.90,08/04/18Z,25,1010,TROPICAL DEPRESSION
25.60,-118.30,08/05/00Z,25,1010,TROPICAL DEPRESSION
26.10,-118.60,08/05/06Z,25,1010,TROPICAL DEPRESSION
26.60,-118.80,08/05/12Z,25,1010,TROPICAL DEPRESSION
