LAT,LON,TIME,WIND,PR,STAT
13.70,-104.00,08/27/18Z,25,1011,TROPICAL DEPRESSION
14.30,-104.20,08/28/00Z,25,1011,TROPICAL DEPRESSION
14.90,-104.50,08/28/06Z,25,1010,TROPICAL DEPRESSION
15.50,-104.90,08/28/12Z,30,1009,TROPICAL DEPRESSION
15.90,-105.30,08/28/18Z,35,1007,TROPICAL STORM
16.30,-105.80,08/29/00Z,35,1005,TROPICAL STORM
16.70,-106.30,08/29/06Z,40,1002,TROPICAL STORM
17.00,-106.90,08/29/12Z,45,1000,TROPICAL STORM
17.20,-107.50,08/29/18Z,50,998,TROPICAL STORM
17.40,-108.10,08/30/00Z,50,996,TROPICAL STORM
17.60,-108.70,08/30/06Z,55,994,TROPICAL STORM
17.80,-109.30,08/30/12Z,55,994,TROPICAL STORM
18.10,-109.80,08/30/18Z,55,994,TROPICAL STORM
18.30,-110.40,08/31/00Z,55,994,TROPICAL STORM
18.70,-110.90,08/31/06Z,55,993,TROPICAL STORM
19.00,-111.60,08/31/12Z,60,992,TROPICAL STORM
19.70,-112.70,08/31/18Z,60,990,TROPICAL STORM
20.20,-114.30,09/01/00Z,60,989,TROPICAL STORM
20.60,-115.50,09/01/06Z,65,989,HURRICANE-1
21.00,-116.80,09/01/12Z,65,989,HURRICANE-1
21.30,-117.90,09/01/18Z,60,991,TROPICAL STORM
21.50,-119.00,09/02/00Z,55,993,TROPICAL STORM
21.60,-120.10,09/02/06Z,50,996,TROPICAL STORM
21.40,-121.10,09/02/12Z,45,999,TROPICAL STORM
21.00,-121.90,09/02/18Z,40,1002,TROPICAL STORM
20.60,-122.60,09/03/00Z,35,1005,TROPICAL STORM
20.50,-123.00,09/03/06Z,30,1006,TROPICAL DEPRESSION
20.50,-123.20,09/03/12Z,30,1007,TROPICAL DEPRESSION
20.50,-123.30,09/03/18Z,30,1008,TROPICAL DEPRESSION
20.50,-123.50,09/04/00Z,30,1008,TROPICAL DEPRESSION
20.50,-123.90,09/04/06Z,25,1009,TROPICAL DEPRESSION
20.50,-124.30,09/04/12Z,25,1009,TROPICAL DEPRESSION
20.50,-124.70,09/04/18Z,25,1009,TROPICAL DEPRESSION
20.60,-125.30,09/05/00Z,25,1009,TROPICAL DEPRESSION
20.70,-125.90,09/05/06Z,25,1010,TROPICAL DEPRESSION
20.80,-126.60,09/05/12Z,25,1010,TROPICAL DEPRESSION
20.80,-128.00,09/05/18Z,25,1011,TROPICAL DEPRESSION
20.80,-128.00,09/06/00Z,25,1011,TROPICAL DEPRESSION
20.80,-128.70,09/06/06Z,20,1012,TROPICAL DEPRESSION
20.70,-129.40,09/06/12Z,20,1012,TROPICAL DEPRESSION
20.70,-130.10,09/06/18Z,20,1013,TROPICAL DEPRESSION
