LAT,LON,TIME,WIND,PR,STAT
14.20,-97.40,09/03/00Z,25,1012,TROPICAL DEPRESSION
14.40,-98.80,09/03/06Z,25,1011,TROPICAL DEPRESSION
14.40,-100.40,09/03/12Z,25,1010,TROPICAL DEPRESSION
14.50,-102.00,09/03/18Z,30,1009,TROPICAL DEPRESSION
14.60,-103.20,09/04/00Z,35,1007,TROPICAL STORM
14.80,-104.40,09/04/06Z,35,1005,TROPICAL STORM
15.10,-105.80,09/04/12Z,35,1005,TROPICAL STORM
15.50,-107.10,09/04/18Z,40,1003,TROPICAL STORM
15.90,-108.20,09/05/00Z,45,1000,TROPICAL STORM
16.30,-109.10,09/05/06Z,45,1000,TROPICAL STORM
16.70,-110.10,09/05/12Z,45,1000,TROPICAL STORM
17.20,-111.20,09/05/18Z,45,1000,TROPICAL STORM
17.60,-112.30,09/06/00Z,40,1003,TROPICAL STORM
17.90,-113.30,09/06/06Z,35,1005,TROPICAL STORM
18.20,-114.50,09/06/12Z,35,1007,TROPICAL STORM
18.60,-115.70,09/06/18Z,35,1008,TROPICAL STORM
19.10,-116.70,09/07/00Z,30,1009,TROPICAL DEPRESSION
19.50,-117.70,09/07/06Z,25,1010,TROPICAL DEPRESSION
19.80,-118.60,09/07/12Z,25,1011,TROPICAL DEPRESSION
20.00,-119.40,09/07/18Z,25,1012,TROPICAL DEPRESSION
20.10,-120.20,09/08/00Z,20,1012,TROPICAL DEPRESSION
