LAT,LON,TIME,WIND,PR,STAT
14.00,-96.50,08/23/18Z,20,1011,TROPICAL DEPRESSION
14.10,-97.60,08/24/00Z,25,1011,TROPICAL DEPRESSION
14.40,-98.70,08/24/06Z,25,1011,TROPICAL DEPRESSION
14.90,-99.90,08/24/12Z,25,1011,TROPICAL DEPRESSION
15.40,-101.30,08/24/18Z,25,1010,TROPICAL DEPRESSION
15.90,-102.60,08/25/00Z,30,1010,TROPICAL DEPRESSION
16.30,-103.70,08/25/06Z,30,1009,TROPICAL DEPRESSION
17.00,-104.90,08/25/12Z,30,1007,TROPICAL DEPRESSION
17.70,-106.20,08/25/18Z,35,1005,TROPICAL STORM
18.30,-107.40,08/26/00Z,40,1002,TROPICAL STORM
18.70,-108.50,08/26/06Z,45,999,TROPICAL STORM
19.00,-109.50,08/26/12Z,50,996,TROPICAL STORM
19.30,-110.50,08/26/18Z,55,992,TROPICAL STORM
19.40,-111.50,08/27/00Z,60,989,TROPICAL STORM
19.50,-112.50,08/27/06Z,65,987,HURRICANE-1
19.50,-113.60,08/27/12Z,65,987,HURRICANE-1
19.40,-114.90,08/27/18Z,65,987,HURRICANE-1
19.10,-116.20,08/28/00Z,65,986,HURRICANE-1
18.70,-117.50,08/28/06Z,65,987,HURRICANE-1
18.50,-118.70,08/28/12Z,65,987,HURRICANE-1
18.20,-119.80,08/28/18Z,60,988,TROPICAL STORM
18.00,-120.70,08/29/00Z,60,991,TROPICAL STORM
17.90,-121.60,08/29/06Z,55,993,TROPICAL STORM
18.00,-122.50,08/29/12Z,55,995,TROPICAL STORM
18.30,-123.40,08/29/18Z,50,996,TROPICAL STORM
18.70,-124.30,08/30/00Z,50,997,TROPICAL STORM
19.20,-125.30,08/30/06Z,45,998,TROPICAL STORM
19.50,-126.50,08/30/12Z,45,1000,TROPICAL STORM
19.70,-127.70,08/30/18Z,40,1001,TROPICAL STORM
19.90,-128.80,08/31/00Z,35,1003,TROPICAL STORM
20.00,-130.00,08/31/06Z,35,1006,TROPICAL STORM
20.10,-131.20,08/31/12Z,30,1008,TROPICAL DEPRESSION
20.10,-132.30,08/31/18Z,30,1010,TROPICAL DEPRESSION
20.00,-133.50,09/01/00Z,25,1011,TROPICAL DEPRESSION
19.90,-134.70,09/01/06Z,25,1012,TROPICAL DEPRESSION
19.90,-136.20,09/01/12Z,20,1014,TROPICAL DEPRESSION
