LAT,LON,TIME,WIND,PR,STAT
11.30,-99.10,10/21/18Z,25,1011,TROPICAL DEPRESSION
11.10,-99.30,10/22/00Z,25,1010,TROPICAL DEPRESSION
11.00,-99.60,10/22/06Z,25,1010,TROPICAL DEPRESSION
11.30,-99.80,10/22/12Z,30,1009,TROPICAL DEPRESSION
11.80,-100.00,10/22/18Z,30,1008,TROPICAL DEPRESSION
12.20,-100.30,10/23/00Z,35,1005,TROPICAL STORM
12.50,-100.70,10/23/06Z,40,1002,TROPICAL STORM
12.80,-101.30,10/23/12Z,45,1000,TROPICAL STORM
13.20,-101.90,10/23/18Z,50,997,TROPICAL STORM
13.60,-102.40,10/24/00Z,55,994,TROPICAL STORM
14.10,-102.90,10/24/06Z,55,994,TROPICAL STORM
14.60,-103.30,10/24/12Z,55,994,TROPICAL STORM
15.20,-103.90,10/24/18Z,55,994,TROPICAL STORM
15.80,-104.70,10/25/00Z,55,993,TROPICAL STORM
16.30,-105.60,10/25/06Z,60,990,TROPICAL STORM
16.80,-106.50,10/25/12Z,65,987,HURRICANE-1
17.40,-107.30,10/25/18Z,75,979,HURRICANE-1
17.90,-107.90,10/26/00Z,85,975,HURRICANE-2
18.30,-108.30,10/26/06Z,85,975,HURRICANE-2
18.60,-108.60,10/26/12Z,85,975,HURRICANE-2
18.80,-108.70,10/26/18Z,85,976,HURRICANE-2
18.90,-108.60,10/27/00Z,80,978,HURRICANE-1
18.90,-108.50,10/27/06Z,75,982,HURRICANE-1
18.80,-108.10,10/27/12Z,65,987,HURRICANE-1
18.50,-107.80,10/27/18Z,60,993,TROPICAL STORM
18.20,-107.50,10/28/00Z,60,996,TROPICAL STORM
17.90,-107.60,10/28/06Z,50,998,TROPICAL STORM
17.40,-107.90,10/28/12Z,45,999,TROPICAL STORM
16.90,-108.50,10/28/18Z,45,1000,TROPICAL STORM
16.60,-108.90,10/29/00Z,45,1000,TROPICAL STORM
16.60,-109.20,10/29/06Z,45,1000,TROPICAL STORM
16.80,-109.50,10/29/12Z,45,1001,TROPICAL STORM
17.20,-110.10,10/29/18Z,40,1003,TROPICAL STORM
17.50,-110.80,10/30/00Z,35,1007,TROPICAL STORM
17.60,-111.60,10/30/06Z,30,1009,TROPICAL DEPRESSION
17.70,-112.40,10/30/12Z,25,1010,TROPICAL DEPRESSION
17.90,-113.20,10/30/18Z,25,1010,TROPICAL DEPRESSION
18.20,-113.90,10/31/00Z,25,1010,TROPICAL DEPRESSION
18.60,-114.50,10/31/06Z,25,1010,TROPICAL DEPRESSION
19.00,-115.00,10/31/12Z,20,1010,TROPICAL DEPRESSION
19.40,-115.10,10/31/18Z,20,1010,TROPICAL DEPRESSION
