LAT,LON,TIME,WIND,PR,STAT
10.80,-107.20,07/29/06Z,25,1009,TROPICAL DEPRESSION
11.50,-108.50,07/29/12Z,30,1008,TROPICAL DEPRESSION
12.10,-109.70,07/29/18Z,35,1005,TROPICAL STORM
12.80,-110.80,07/30/00Z,35,1004,TROPICAL STORM
13.20,-111.80,07/30/06Z,40,1002,TROPICAL STORM
13.40,-112.90,07/30/12Z,45,1000,TROPICAL STORM
13.70,-113.80,07/30/18Z,50,997,TROPICAL STORM
14.00,-114.80,07/31/00Z,55,994,TROPICAL STORM
14.60,-115.90,07/31/06Z,60,991,TROPICAL STORM
15.00,-116.90,07/31/12Z,65,987,HURRICANE-1
15.30,-118.00,07/31/18Z,70,984,HURRICANE-1
15.50,-119.10,08/01/00Z,75,982,HURRICANE-1
15.80,-120.10,08/01/06Z,80,977,HURRICANE-1
16.10,-121.00,08/01/12Z,85,971,HURRICANE-2
16.30,-121.80,08/01/18Z,95,963,HURRICANE-2
16.60,-122.70,08/02/00Z,105,959,HURRICANE-3
16.90,-123.60,08/02/06Z,105,960,HURRICANE-3
17.10,-124.60,08/02/12Z,100,962,HURRICANE-3
17.30,-125.70,08/02/18Z,95,967,HURRICANE-2
17.40,-126.80,08/03/00Z,90,972,HURRICANE-2
17.50,-128.00,08/03/06Z,80,977,HURRICANE-1
17.60,-129.40,08/03/12Z,75,979,HURRICANE-1
17.70,-130.90,08/03/18Z,80,978,HURRICANE-1
17.80,-132.50,08/04/00Z,85,975,HURRICANE-2
17.90,-134.00,08/04/06Z,85,972,HURRICANE-2
18.00,-135.50,08/04/12Z,90,970,HURRICANE-2
18.00,-137.10,08/04/18Z,90,970,HURRICANE-2
18.10,-138.60,08/05/00Z,90,970,HURRICANE-2
18.10,-140.30,08/05/06Z,85,972,HURRICANE-2
18.10,-142.00,08/05/12Z,80,975,HURRICANE-1
18.20,-143.20,08/05/18Z,70,977,HURRICANE-1
18.30,-144.60,08/06/00Z,65,980,HURRICANE-1
18.30,-145.90,08/06/06Z,60,988,TROPICAL STORM
18.30,-147.00,08/06/12Z,55,995,TROPICAL STORM
18.30,-148.70,08/06/18Z,50,1000,TROPICAL STORM
18.30,-149.90,08/07/00Z,45,1001,TROPICAL STORM
18.40,-151.40,08/07/06Z,40,1002,TROPICAL STORM
18.50,-153.00,08/07/12Z,35,1004,TROPICAL STORM
18.80,-154.10,08/07/18Z,30,1006,TROPICAL DEPRESSION
19.30,-155.00,08/08/00Z,25,1008,TROPICAL DEPRESSION
