LAT,LON,TIME,WIND,PR,STAT
10.10,-100.10,09/20/18Z,25,1009,TROPICAL DEPRESSION
10.30,-100.70,09/21/00Z,30,1008,TROPICAL DEPRESSION
10.70,-101.50,09/21/06Z,30,1008,TROPICAL DEPRESSION
11.20,-102.30,09/21/12Z,30,1007,TROPICAL DEPRESSION
11.70,-103.00,09/21/18Z,35,1005,TROPICAL STORM
12.30,-103.40,09/22/00Z,40,1003,TROPICAL STORM
12.80,-103.90,09/22/06Z,45,1000,TROPICAL STORM
13.10,-104.30,09/22/12Z,55,994,TROPICAL STORM
13.40,-104.90,09/22/18Z,65,987,HURRICANE-1
13.40,-105.70,09/23/00Z,85,975,HURRICANE-2
13.50,-106.60,09/23/06Z,105,963,HURRICANE-3
13.50,-107.70,09/23/12Z,110,954,HURRICANE-3
13.40,-108.90,09/23/18Z,115,949,HURRICANE-4
13.40,-110.00,09/24/00Z,115,947,HURRICANE-4
13.40,-111.00,09/24/06Z,115,946,HURRICANE-4
13.40,-112.10,09/24/12Z,115,945,HURRICANE-4
13.40,-113.10,09/24/18Z,115,945,HURRICANE-4
13.30,-114.10,09/25/00Z,110,951,HURRICANE-3
13.40,-115.10,09/25/06Z,110,950,HURRICANE-3
13.40,-116.00,09/25/12Z,115,948,HURRICANE-4
13.50,-116.90,09/25/18Z,115,948,HURRICANE-4
13.70,-117.70,09/26/00Z,115,950,HURRICANE-4
13.90,-118.40,09/26/06Z,110,952,HURRICANE-3
14.20,-119.20,09/26/12Z,110,953,HURRICANE-3
14.50,-119.90,09/26/18Z,105,955,HURRICANE-3
14.80,-120.70,09/27/00Z,100,957,HURRICANE-3
15.20,-121.40,09/27/06Z,100,958,HURRICANE-3
15.40,-122.00,09/27/12Z,100,960,HURRICANE-3
15.50,-122.50,09/27/18Z,95,961,HURRICANE-2
15.50,-123.00,09/28/00Z,95,962,HURRICANE-2
15.50,-123.50,09/28/06Z,95,963,HURRICANE-2
15.60,-123.90,09/28/12Z,95,964,HURRICANE-2
15.70,-124.30,09/28/18Z,95,966,HURRICANE-2
15.80,-124.50,09/29/00Z,90,967,HURRICANE-2
16.00,-124.70,09/29/06Z,90,969,HURRICANE-2
16.30,-124.90,09/29/12Z,90,970,HURRICANE-2
16.70,-125.10,09/29/18Z,85,972,HURRICANE-2
17.20,-125.50,09/30/00Z,80,975,HURRICANE-1
17.70,-125.90,09/30/06Z,70,979,HURRICANE-1
18.50,-126.50,09/30/12Z,60,988,TROPICAL STORM
19.30,-127.40,09/30/18Z,50,996,TROPICAL STORM
20.00,-128.20,10/01/00Z,35,1002,TROPICAL STORM
20.50,-129.10,10/01/06Z,30,1006,TROPICAL DEPRESSION
21.10,-130.00,10/01/12Z,25,1009,TROPICAL DEPRESSION
21.70,-130.80,10/01/18Z,25,1010,TROPICAL DEPRESSION
22.50,-131.50,10/02/00Z,20,1011,TROPICAL DEPRESSION
