LAT,LON,TIME,WIND,PR,STAT
10.10,-104.40,11/07/00Z,30,1006,TROPICAL DEPRESSION
10.20,-105.30,11/07/06Z,30,1003,TROPICAL DEPRESSION
11.00,-106.30,11/07/12Z,35,1000,TROPICAL STORM
11.70,-107.30,11/07/18Z,40,996,TROPICAL STORM
12.20,-108.30,11/08/00Z,45,993,TROPICAL STORM
12.30,-109.30,11/08/06Z,50,991,TROPICAL STORM
12.20,-110.20,11/08/12Z,50,989,TROPICAL STORM
12.10,-110.90,11/08/18Z,55,986,TROPICAL STORM
12.20,-111.60,11/09/00Z,60,983,TROPICAL STORM
12.40,-112.30,11/09/06Z,70,979,HURRICANE-1
12.80,-112.80,11/09/12Z,80,976,HURRICANE-1
13.30,-113.30,11/09/18Z,90,971,HURRICANE-2
13.80,-113.60,11/10/00Z,90,970,HURRICANE-2
14.20,-113.70,11/10/06Z,90,970,HURRICANE-2
14.60,-113.90,11/10/12Z,85,971,HURRICANE-2
14.90,-114.10,11/10/18Z,75,975,HURRICANE-1
15.10,-114.10,11/11/00Z,60,980,TROPICAL STORM
15.30,-113.80,11/11/06Z,45,987,TROPICAL STORM
15.70,-113.20,11/11/12Z,35,993,TROPICAL STORM
16.20,-112.30,11/11/18Z,30,997,TROPICAL DEPRESSION
17.10,-111.30,11/12/00Z,30,1000,TROPICAL DEPRESSION
18.30,-110.50,11/12/06Z,30,1000,TROPICAL DEPRESSION
19.70,-109.70,11/12/12Z,30,1001,TROPICAL DEPRESSION
21.40,-109.00,11/12/18Z,30,1002,TROPICAL DEPRESSION
