LAT,LON,TIME,WIND,PR,STAT
10.80,-94.20,07/14/12Z,25,1011,TROPICAL DEPRESSION
11.30,-95.30,07/14/18Z,30,1010,TROPICAL DEPRESSION
11.80,-96.40,07/15/00Z,30,1009,TROPICAL DEPRESSION
12.20,-97.40,07/15/06Z,35,1005,TROPICAL STORM
12.50,-98.30,07/15/12Z,45,1000,TROPICAL STORM
12.70,-99.20,07/15/18Z,55,994,TROPICAL STORM
12.80,-100.10,07/16/00Z,65,988,HURRICANE-1
13.00,-101.00,07/16/06Z,65,984,HURRICANE-1
13.10,-102.00,07/16/12Z,70,981,HURRICANE-1
13.20,-103.00,07/16/18Z,75,978,HURRICANE-1
13.40,-104.00,07/17/00Z,80,975,HURRICANE-1
13.80,-105.00,07/17/06Z,85,972,HURRICANE-2
14.20,-106.00,07/17/12Z,90,970,HURRICANE-2
14.80,-107.00,07/17/18Z,95,968,HURRICANE-2
15.40,-108.00,07/18/00Z,95,965,HURRICANE-2
16.00,-109.20,07/18/06Z,95,964,HURRICANE-2
16.70,-110.40,07/18/12Z,95,965,HURRICANE-2
17.30,-111.60,07/18/18Z,95,968,HURRICANE-2
17.70,-112.70,07/19/00Z,90,970,HURRICANE-2
18.00,-113.70,07/19/06Z,85,973,HURRICANE-2
18.40,-114.60,07/19/12Z,80,976,HURRICANE-1
18.50,-115.30,07/19/18Z,80,979,HURRICANE-1
18.50,-116.00,07/20/00Z,75,981,HURRICANE-1
18.40,-116.70,07/20/06Z,75,982,HURRICANE-1
18.10,-117.40,07/20/12Z,75,980,HURRICANE-1
17.90,-118.00,07/20/18Z,80,976,HURRICANE-1
17.70,-118.70,07/21/00Z,85,972,HURRICANE-2
17.50,-119.50,07/21/06Z,90,970,HURRICANE-2
17.50,-120.50,07/21/12Z,95,968,HURRICANE-2
17.60,-121.70,07/21/18Z,90,970,HURRICANE-2
17.70,-123.10,07/22/00Z,85,974,HURRICANE-2
17.80,-124.60,07/22/06Z,75,978,HURRICANE-1
17.90,-126.20,07/22/12Z,70,984,HURRICANE-1
17.90,-127.80,07/22/18Z,65,989,HURRICANE-1
17.80,-129.50,07/23/00Z,55,994,TROPICAL STORM
17.70,-131.40,07/23/06Z,50,997,TROPICAL STORM
17.50,-133.40,07/23/12Z,45,999,TROPICAL STORM
17.50,-135.40,07/23/18Z,40,1002,TROPICAL STORM
17.50,-137.40,07/24/00Z,35,1005,TROPICAL STORM
17.50,-139.40,07/24/06Z,30,1007,TROPICAL DEPRESSION
17.60,-141.50,07/24/12Z,30,1008,TROPICAL DEPRESSION
17.80,-143.50,07/24/18Z,30,1009,TROPICAL DEPRESSION
17.90,-145.00,07/25/00Z,25,1010,TROPICAL DEPRESSION
17.80,-147.40,07/25/06Z,25,1010,TROPICAL DEPRESSION
17.80,-149.50,07/25/12Z,25,1011,TROPICAL DEPRESSION
17.80,-151.70,07/25/18Z,25,1011,TROPICAL DEPRESSION
17.50,-154.00,07/26/00Z,30,1012,TROPICAL DEPRESSION
17.40,-156.50,07/26/06Z,30,1014,TROPICAL DEPRESSION
