LAT,LON,TIME,WIND,PR,STAT
12.70,-122.60,08/27/12Z,30,1009,TROPICAL DEPRESSION
12.90,-123.40,08/27/18Z,30,1007,TROPICAL DEPRESSION
13.20,-124.30,08/28/00Z,35,1005,TROPICAL STORM
13.30,-125.40,08/28/06Z,35,1003,TROPICAL STORM
13.70,-126.90,08/28/12Z,40,1002,TROPICAL STORM
14.30,-128.90,08/28/18Z,45,1000,TROPICAL STORM
14.90,-130.60,08/29/00Z,45,999,TROPICAL STORM
15.20,-131.90,08/29/06Z,45,1000,TROPICAL STORM
15.50,-132.80,08/29/12Z,40,1002,TROPICAL STORM
15.60,-134.00,08/29/18Z,40,1003,TROPICAL STORM
15.80,-135.50,08/30/00Z,40,1003,TROPICAL STORM
15.90,-136.40,08/30/06Z,40,1004,TROPICAL STORM
15.90,-137.70,08/30/12Z,40,1004,TROPICAL STORM
15.90,-138.80,08/30/18Z,30,1006,TROPICAL DEPRESSION
16.00,-140.10,08/31/00Z,25,1010,TROPICAL DEPRESSION
