LAT,LON,TIME,WIND,PR,STAT
10.60,-94.80,09/08/12Z,25,1007,TROPICAL DEPRESSION
11.30,-95.00,09/08/18Z,30,1005,TROPICAL DEPRESSION
11.80,-95.70,09/09/00Z,40,1003,TROPICAL STORM
12.20,-96.50,09/09/06Z,40,1002,TROPICAL STORM
12.60,-97.30,09/09/12Z,40,1002,TROPICAL STORM
13.00,-98.10,09/09/18Z,45,999,TROPICAL STORM
13.50,-99.10,09/10/00Z,55,993,TROPICAL STORM
14.10,-100.10,09/10/06Z,70,985,HURRICANE-1
14.80,-101.30,09/10/12Z,80,977,HURRICANE-1
15.60,-102.80,09/10/18Z,90,968,HURRICANE-2
16.20,-104.20,09/11/00Z,115,948,HURRICANE-4
16.70,-105.40,09/11/06Z,130,930,HURRICANE-4
17.50,-106.60,09/11/12Z,125,938,HURRICANE-4
18.20,-107.60,09/11/18Z,115,948,HURRICANE-4
19.00,-108.50,09/12/00Z,110,955,HURRICANE-3
19.50,-109.30,09/12/06Z,100,960,HURRICANE-3
20.40,-109.80,09/12/12Z,90,970,HURRICANE-2
21.60,-109.50,09/12/18Z,85,975,HURRICANE-2
22.50,-108.70,09/13/00Z,85,975,HURRICANE-2
23.90,-107.80,09/13/06Z,85,975,HURRICANE-2
24.30,-107.50,09/13/08Z,85,975,HURRICANE-2
25.90,-106.30,09/13/12Z,45,998,TROPICAL STORM
27.90,-104.20,09/13/18Z,35,1001,TROPICAL STORM
29.50,-101.00,09/14/00Z,30,1003,TROPICAL DEPRESSION
30.50,-98.50,09/14/06Z,25,1006,TROPICAL DEPRESSION
