LAT,LON,TIME,WIND,PR,STAT
14.50,-107.50,08/10/12Z,25,1007,TROPICAL DEPRESSION
15.00,-107.50,08/10/18Z,25,1007,TROPICAL DEPRESSION
15.60,-107.50,08/11/00Z,25,1007,TROPICAL DEPRESSION
16.20,-107.60,08/11/06Z,30,1006,TROPICAL DEPRESSION
16.70,-107.90,08/11/12Z,35,1003,TROPICAL STORM
17.30,-108.30,08/11/18Z,45,1000,TROPICAL STORM
18.00,-108.90,08/12/00Z,50,997,TROPICAL STORM
18.80,-109.50,08/12/06Z,55,994,TROPICAL STORM
19.80,-110.30,08/12/12Z,60,990,TROPICAL STORM
21.00,-111.20,08/12/18Z,65,986,HURRICANE-1
22.40,-112.20,08/13/00Z,65,987,HURRICANE-1
23.70,-113.40,08/13/06Z,60,989,TROPICAL STORM
24.80,-114.70,08/13/12Z,55,993,TROPICAL STORM
25.60,-116.30,08/13/18Z,50,997,TROPICAL STORM
26.30,-118.00,08/14/00Z,40,1002,TROPICAL STORM
26.70,-119.80,08/14/06Z,30,1007,TROPICAL DEPRESSION
26.90,-121.70,08/14/12Z,25,1009,TROPICAL DEPRESSION
27.00,-123.50,08/14/18Z,25,1012,TROPICAL DEPRESSION
